date,days_elapsed,Uw,ip,Tair,Twater,amc,ET,Hw,Tw,t,site_plot,Zs,A,dHw,Vw,dt,Qip,QET,dVw,Qg,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2020-04-22,477,6.660896,0.0635,0.5555555555555556,2.9444444444444446,2,0.6033982643529726,0.8432065642548707,6.615868468343476,336,OCSP.2,75.18614762,1,-0.05281209698981115,0.8432065642548707,1,6.35e-4,0.006033982643529726,-0.05281209698981115,0,-0.047413114346281426,0,-0.047413114346281426,0,0,-0.09482622869256285
2020-04-23,478,3.308096,0,4.444444444444445,6.055555555555555,2,0.4839306069461428,0.7759712292518373,5.937421248282915,337,OCSP.2,75.18614762,1,-0.06723533500303347,0.7759712292518373,1,0,0.004839306069461428,-0.06723533500303347,0,-0.062396028933572045,0,-0.062396028933572045,0,0,-0.12479205786714409
2020-04-24,479,3.308096,0,6.111111111111111,7.388888888888889,2,0.4674505201597682,0.7055403969885674,7.29206285358947,338,OCSP.2,75.18614762,1,-0.07043083226326985,0.7055403969885674,1,0,0.004674505201597682,-0.07043083226326985,0,-0.06575632706167217,0,-0.06575632706167217,0,0,-0.13151265412334434
2020-04-25,480,2.056384,0,11.11111111111111,11.38888888888889,1,0.4346056530562913,0.6210952675169352,8.18162896015026,339,OCSP.2,75.18614762,1,-0.08444512947163219,0.6210952675169352,1,0,0.004346056530562913,-0.08444512947163219,0,-0.08009907294106927,0,-0.08009907294106927,0,0,-0.16019814588213854
2020-04-26,481,3.039872,0.8128000000000001,8.88888888888889,9.61111111111111,2,0.4243782388410562,0.5276656377517384,9.02747501561671,340,OCSP.2,75.18614762,1,-0.09342962976519686,0.5276656377517384,1,0.008128000000000002,0.004243782388410562,-0.09342962976519686,0,-0.0973138473767863,0,-0.0973138473767863,0,0,-0.1946276947535726
2020-04-27,482,4.380992,0.3556,6.111111111111111,7.388888888888889,2,0.44231418946062095,0.44885702784567627,8.37537995091191,341,OCSP.2,75.18614762,1,-0.07880860990606209,0.44885702784567627,1,0.003556,0.00442314189460621,-0.07880860990606209,0,-0.07794146801145588,0,-0.07794146801145588,0,0,-0.15588293602291176
2020-04-28,483,3.12928,0,8.88888888888889,9.61111111111111,2,0.6490176311204257,0.4505761763616505,7.723824345035317,342,OCSP.2,75.18614762,1,0.0017191485159742115,0.4505761763616505,1,0,0.006490176311204256,0.0017191485159742115,0,0.008209324827178469,0,-0,0.008209324827178469,0,-8.673617379884035e-19
2020-04-29,484,4.02336,0.050800000000000005,10,10.5,2,0.5395640271929619,0.44189958148375297,8.965861311665288,343,OCSP.2,75.18614762,1,-0.008676594877897514,0.44189958148375297,1,5.080000000000001e-4,0.00539564027192962,-0.008676594877897514,0,-0.0037889546059678945,0,-0.0037889546059678945,0,0,-0.007577909211935789
2020-04-30,485,6.660896,0.10160000000000001,10,10.5,2,0.47015336531834284,0.4220714745838876,9.404278758131428,344,OCSP.2,75.18614762,1,-0.01982810689986536,0.4220714745838876,1,0.0010160000000000002,0.004701533653183428,-0.01982810689986536,0,-0.016142573246681932,0,-0.016142573246681932,0,0,-0.032285146493363864
2020-05-01,486,4.24688,0.254,13.88888888888889,13.611111111111112,1,0.48924298204642797,0.4014446911767493,9.746708384266606,345,OCSP.2,75.18614762,1,-0.020626783407138305,0.4014446911767493,1,0.00254,0.00489242982046428,-0.020626783407138305,0,-0.018274353586674025,0,-0.018274353586674025,0,0,-0.03654870717334805
2020-05-02,487,1.6987519999999998,0.1524,11.11111111111111,11.38888888888889,1,0.555126675520426,0.3961395877863225,10.112286217418717,346,OCSP.2,75.18614762,1,-0.00530510339042678,0.3961395877863225,1,0.0015240000000000002,0.00555126675520426,-0.00530510339042678,0,-0.0012778366352225196,0,-0.0012778366352225196,0,0,-0.0025556732704450393
2020-05-03,488,4.202176,0.050800000000000005,17.77777777777778,16.72222222222222,1,0.9798066531898024,0.4066451548721801,11.90541053995674,347,OCSP.2,75.18614762,1,0.010505567085857592,0.4066451548721801,1,5.080000000000001e-4,0.009798066531898025,0.010505567085857592,0,0.019795633617755617,0,-0,0.019795633617755617,0,-1.734723475976807e-18
2020-05-04,489,4.69392,0.050800000000000005,10.555555555555555,10.944444444444445,1,0.7607485977487081,0.4246711393567466,12.854178628803771,348,OCSP.2,75.18614762,1,0.018025984484566493,0.4246711393567466,1,5.080000000000001e-4,0.007607485977487081,0.018025984484566493,0,0.025125470462053573,0,-0,0.025125470462053573,0,0
