site,plot,rep,YSF,frac_farmed,prior,MC60,WFPS,HCl.Pi,HCl.Po,TP.ign,LOI,BD,WEPw,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,depth
DM,2,1,1.6682069999999385,1,row crop,0.041546475084498234,0.058081078220671,599.2061665228473,155.69743434340896,754.9036008662563,0.021288985295754865,1.8468975692928606,6.264642034164214,434.54374951699043,338.139664368942,1277.090081299412,125.53036506965282,0.19875768058507592,65.7580771506336,NA
DM,2,2,1.6682069999999385,1,row crop,0.0720346085856545,0.10742318004130005,623.6284644090227,184.36231700065372,807.9907814096765,0.019738589771659324,1.906696562102224,6.0521409562436554,439.2189881903374,320.858187314596,1209.4623811578056,121.21006429374013,0.21154072443479727,50.56702854511617,NA
DM,2,3,1.6682069999999385,1,row crop,0.0891299644612512,0.1340241459071811,599.1851855479368,100.6934848788665,699.8786704268034,0.018176608034414798,1.9032288635389618,7.975884326256409,396.71905058383317,295.22936140219804,1074.6744301464742,116.11675580823054,0.2123967239455624,43.46284446128488,NA
LC,0,N,16.605236000000104,0.2222222222222222,hay/pasture,0.348156032917294,0.10804473246115137,211.33444713953466,353.13732340478583,564.4717705443204,0.13542604325691604,0.4831333547222688,0.19307068073246234,167.80910628490923,853.3269916992972,761.9670518034469,10.9151036248543,0.059873272217299996,206.81316192208857,NA
LC,0,S,16.605236000000104,0.2222222222222222,hay/pasture,0.31533096793207765,0.13662424455095476,240.1839962933504,271.06624643118766,511.25024272453805,0.1079003900169287,0.6283815872597749,0.4349212019256807,232.38740135229452,1178.2029112842706,984.0710036999594,11.10904569706203,0.06120868138842186,273.06755027359924,NA
LC,1,N,16.605236000000104,0.2222222222222222,hay/pasture,0.2617304313332764,0.16397047597090125,176.84975102839573,201.34621238747107,378.19596341586674,0.08366990141067089,0.8467463339810564,0.19724972130668042,192.69648276936908,1026.813864668442,1685.1974152733578,21.257732248097536,0.04675457663285785,375.9095346572043,NA
LC,1,S,16.605236000000104,0.2222222222222222,hay/pasture,0.20639390995926404,0.2267524166151009,151.84308658181365,206.24574821734953,358.08883479916307,0.08530072666039677,1.0710759810109156,0.13226369722818881,149.03514959820103,1007.2878089157552,1434.6862680519791,14.536836367025138,0.038362563023923976,359.51088781742453,NA
LC,2,1,16.605236000000104,0.2222222222222222,hay/pasture,0.2448663633039496,0.20047558761830675,150.7766071722637,305.3956995862074,456.172306758471,0.10311006975408224,1.1091056941417226,0.08365754456229699,192.94718038367648,1189.554494154737,1312.3187747362467,24.663220884597926,0.04649966652571568,356.91250628886013,NA
LC,2,2,16.605236000000104,0.2222222222222222,hay/pasture,0.2164142306337036,0.2118379282975038,139.3215937477472,256.69686591123394,396.0184596589811,0.08888449851937957,1.366697208002619,0.10581879330960825,167.81675619005009,1193.985930318004,1169.021353193757,21.636516279632858,0.04174968860631443,350.75610197547155,NA
LC,2,3,16.605236000000104,0.2222222222222222,hay/pasture,0.22980589454327216,0.2032827353034378,144.76245800161934,296.91339553023676,441.67585353185615,0.09200928147591056,1.2478609235977522,0.08338051169547633,175.9190507037849,1096.597644389874,1557.8225235278824,24.817456718607062,0.04195448642030268,382.53507766341585,NA
LC,3,N,16.605236000000104,0.2222222222222222,hay/pasture,0.2833728989066709,0.16356184162360066,119.84401574427811,353.83657960948176,473.68059535375994,0.11457328439299007,0.8716435330371455,0.09255982391382822,196.10739244456184,1448.8862953618748,1297.5879545655835,25.09682526738994,0.041443962113744515,411.36074730031976,NA
LC,3,S,16.605236000000104,0.2222222222222222,hay/pasture,0.28162647187678486,0.16639639738777282,157.0214598323779,416.3994554161116,573.4209152484895,0.1249144447672919,0.8767051606599704,0.3199317608881612,241.4905396057569,1945.5615315545829,1547.6547609725687,23.510281423524297,0.039570995427017086,535.8900006261516,NA
LC,4,N,16.605236000000104,0.2222222222222222,hay/pasture,0.17358890548658532,0.20691072210553607,120.7622110168484,225.047524735609,345.80973575245736,0.0700183247744737,1.5856382143119199,0.06729392841464477,125.6027896272025,956.6504002850123,1031.737484927098,30.954903762195872,0.03768442703778478,301.449346614462,NA
LC,4,S,16.605236000000104,0.2222222222222222,hay/pasture,0.20886942875234885,0.2174436655151963,142.98895262607053,236.51159082698743,379.500543453058,0.08388985264525942,1.379313375214583,0.040574590175178823,145.0050407809693,1202.3501677288316,1531.103462647053,20.304866232122222,0.03312782832976795,420.6885307893533,NA
MC,2,1,15.668206999999938,0.3,hay/pasture,0.23683640710166323,0.10573889297404729,294.2903617046761,334.17999758944535,628.4703592941213,0.07893695295359308,0.7491482323671603,0.17134976910951458,318.2780762314607,588.6328749730568,2942.4012360830156,300.3678767220209,0.07213263364555028,394.83006579802077,NA
MC,2,2,15.668206999999938,0.3,hay/pasture,0.2435874767605523,0.116860994827595,342.7360267415934,191.98009674496015,534.7161234865536,0.07569952766801918,0.7808977468093149,0.2622590618774679,370.62199235492,708.5047274777937,4887.860080474185,122.85171754084304,0.054320318152581155,659.4637815623056,NA
MC,2,3,15.668206999999938,0.3,hay/pasture,0.2100879605361371,0.1271018063464614,277.0851745579055,281.92368076988583,559.0088553277914,0.06089778346076132,0.9401059236422991,0.16603487167246023,239.32918163402655,553.8975743513151,1544.231822939094,75.97455610548505,0.08008956147025227,229.36304233323753,NA
