site,rep_mean,AGB.gm2-090219_mean,AGL.gm2-101419_mean,BGB.0t10cm.gm2-090219_mean,AGL.gm2_101520_mean,bgb_loi_mean,bgb_tp_mgkg_mean,agb_tp_mgkg_mean,Litter_P_mgkg_total_mean,Litter_P_mgkg_inorganic_mean,bgb_tp_gm2_mean,agb_tp_gm2_mean,agl_tp_gm2_2019_mean,agl_tp_gm2_2020_mean,rep_sd,AGB.gm2-090219_sd,AGL.gm2-101419_sd,BGB.0t10cm.gm2-090219_sd,AGL.gm2_101520_sd,bgb_loi_sd,bgb_tp_mgkg_sd,agb_tp_mgkg_sd,Litter_P_mgkg_total_sd,Litter_P_mgkg_inorganic_sd,bgb_tp_gm2_sd,agb_tp_gm2_sd,agl_tp_gm2_2019_sd,agl_tp_gm2_2020_sd
LC,2,385.6,401.8666666666667,1134.8952245062096,419.15221641694507,0.852660660687802,1163.917330720266,1134.6810656200023,1523.6220570515827,NaN,1.3138023192406523,0.3849628594737779,0.5987334663971522,0.6142044765265434,0.8451542547285166,292.09704845185564,168.67799698439234,397.0888411302481,219.78757342481967,0.05177719793964122,179.15431088397943,334.797646962605,705.3332268921133,NA,0.45417415713517456,0.286022536253165,0.4031251930865536,0.5626951559927104
OCD,2,704,472,1390.3076284248623,795.1017232627631,0.8320915953330442,1536.045470360287,1854.3907271372743,978.5805530704336,529.4169909870583,2.2024739815467043,1.250126410104282,0.4651803061585082,0.77767731151303,0.8451542547285166,351.7856490210237,103.41594240182286,737.4526237875555,323.75920925415005,0.05853268071620677,297.167391730222,415.2915843957226,269.4521773791079,236.31575225646463,1.5833739864122194,0.5428364210408028,0.17578333724132442,0.3717719052479997
OCSP,2,374.4,406.4,811.5354552885976,559.0407886687893,0.8609822346121283,1269.0668823925384,2891.6907644461053,1477.0759091869065,899.8484228775642,1.0327102174055802,0.8914958821989197,0.6094457485787902,0.8335647176413201,0.8451542547285166,261.9260528142574,179.73822234413183,408.8120563844989,211.5755854105543,0.0403086604671836,176.45613959861905,876.9001160864316,221.59382867881763,270.2017942317862,0.5134108338622441,0.518687446964052,0.3155609393478753,0.3612342703309166
