date,days_elapsed,Uw,ip,Tair,Twater,amc,ET
2019-01-01,0,7.331455999999999,0.3556,-0.5555555555555556,2.0555555555555554,2,0.188292966794538
2019-01-02,1,1.8775680000000001,0.26670000000000005,-7.222222222222222,1,2,0.08580499754910531
2019-01-03,2,1.8775680000000001,0.1778,-2.2222222222222223,1,2,0.07490064753507632
2019-01-04,3,4.4704,0.0889,2.2222222222222223,4.277777777777778,2,0.187578974529695
2019-01-05,4,1.430528,0,0,2.5,2,0.0626255925430558
2019-01-06,5,6.5714879999999996,0.1778,-3.333333333333333,1,2,0.1671059402059965
2019-01-07,6,3.3975039999999996,0,-10,1,2,0.11538993124436228
2019-01-08,7,5.766816,0.6604,-1.6666666666666665,1.1666666666666667,2,0.20860711423577194
2019-01-09,8,3.621024,0.9398,0,2.5,2,0.08656278172533959
2019-01-10,9,7.242048,0.025400000000000002,-5.555555555555555,1,2,0.13297737960843065
2019-01-11,10,5.096256,0.012700000000000001,-12.222222222222221,1,2,0.09397471099451571
2019-01-12,11,1.4752319999999999,0,-14.444444444444445,1,2,0.06257436231195898
2019-01-13,12,1.609344,0,-15.555555555555555,1,2,0.039780852946998915
2019-01-14,13,0.759968,0.008466666666666666,-13.88888888888889,1,2,0.029629146530255807
2019-01-15,14,2.8163519999999997,0.01693333333333333,-8.333333333333334,1,2,0.07976666271805788
2019-01-16,15,5.9009279999999995,0.025400000000000002,-5.555555555555555,1,2,0.1866372968215325
2019-01-17,16,1.56464,0,-12.777777777777777,1,2,0.07384619242097848
2019-01-18,17,5.2303679999999995,0.050800000000000005,-4.444444444444445,1,2,0.16217060080972892
2019-01-19,18,4.4704,0.4318,-13.333333333333332,1,2,0.09603104534806987
2019-01-20,19,4.91744,1.27,-18.333333333333332,1,3,0.04144026335685516
2019-01-21,20,5.945632,0.381,-18.88888888888889,1,3,0.06472354849974504
2019-01-22,21,2.190496,0,-17.22222222222222,1,3,0.07450868098148974
2019-01-23,22,8.002016,0.0762,-2.2222222222222223,1,2,0.2827201500750379
2019-01-24,23,4.604512000000001,2.5908,2.2222222222222223,4.277777777777778,3,0.12090812479662716
2019-01-25,24,4.291583999999999,0.050800000000000005,-2.7777777777777777,1,3,0.15839325300640356
2019-01-26,25,1.8328639999999998,0.025400000000000002,-10,1,3,0.07587529150571523
2019-01-27,26,4.02336,0.381,-7.222222222222222,1,3,0.1566886574497719
2019-01-28,27,3.79984,0,-12.222222222222221,1,3,0.13001358941239646
2019-01-29,28,4.02336,0.3556,-9.444444444444445,1,3,0.13560063062693134
2019-01-30,29,3.889248,0.381,-10,1,3,0.1291281269369518
2019-01-31,30,6.48208,0.1905,-15,1,3,0.08382250792079028
2019-02-01,31,3.173984,0,-12.777777777777777,1,3,0.11899017815463586
2019-02-02,32,2.7269439999999996,0.2286,-13.333333333333332,1,3,0.09661832484550638
2019-02-03,33,1.430528,0.2794,-1.6666666666666665,1.1666666666666667,3,0.08244986122113994
2019-02-04,34,2.861056,0.025400000000000002,5.555555555555555,6.944444444444445,3,0.16446122791723924
2019-02-05,35,6.169152,0.1524,2.7777777777777777,4.722222222222222,3,0.29892656563456405
2019-02-06,36,2.90576,0.8636,-3.333333333333333,1,3,0.11357080363511667
2019-02-07,37,2.45872,0.1778,0.5555555555555556,2.9444444444444446,3,0.05874225461699276
2019-02-08,38,7.689088,0.0889,1.6666666666666665,3.833333333333333,3,0.3292707855193863
2019-02-09,39,5.722112,0,-6.111111111111111,1,3,0.2322741545607449
2019-02-10,40,3.486912,0,-5.555555555555555,1,2,0.10302245618052559
2019-02-11,41,2.7269439999999996,0,-9.444444444444445,1,2,0.11919296297040487
2019-02-12,42,1.207008,1.2954,-11.11111111111111,1,3,0.06800267401941976
2019-02-13,43,1.609344,0.8889999999999999,-2.7777777777777777,1,3,0.09195766394488328
2019-02-14,44,2.861056,0.5969,-3.888888888888889,1,3,0.17381306944825942
2019-02-15,45,3.486912,0.3048,1.6666666666666665,3.833333333333333,3,0.21267024582857066
2019-02-16,46,4.604512000000001,0.1524,-3.333333333333333,1,3,0.2370020882338669
2019-02-17,47,2.056384,0,-9.444444444444445,1,3,0.10176748826459922
2019-02-18,48,3.3975039999999996,0.2794,-12.777777777777777,1,3,0.08970637754603679
2019-02-19,49,2.1457919999999997,0,-11.666666666666666,1,3,0.11081838792817775
2019-02-20,50,2.414016,0.050800000000000005,-11.11111111111111,1,3,0.11075350206663943
2019-02-21,51,5.677408,0.3556,0,2.5,3,0.20457752656566427
2019-02-22,52,2.6375360000000003,0.5418666666666666,-2.2222222222222223,1,3,0.17393580584363766
2019-02-23,53,0.67056,0.7281333333333332,-3.333333333333333,1,3,0.0881944930273738
2019-02-24,54,4.4704,0.9144,2.2222222222222223,4.277777777777778,3,0.20812020457305955
2019-02-25,55,8.225536,0.4572,-2.2222222222222223,1,3,0.27303361151182853
2019-02-26,56,6.795007999999999,0,-11.11111111111111,1,3,0.17627883481901646
2019-02-27,57,1.609344,0.0762,-15.555555555555555,1,3,0.06781339215435243
2019-02-28,58,2.056384,0.050800000000000005,-10.555555555555555,1,3,0.12415800037884976
2019-03-01,59,1.251712,0,-7.222222222222222,1,3,0.13023991602993232
2019-03-02,60,2.324608,0.050800000000000005,-2.7777777777777777,1,3,0.17771647654483644
2019-03-03,61,1.56464,0.10160000000000001,-2.2222222222222223,1,3,0.12358973919167433
2019-03-04,62,3.79984,0.1524,-4.444444444444445,1,3,0.16561455505376063
2019-03-05,63,3.084576,0.0889,-8.333333333333334,1,3,0.1445097278751125
2019-03-06,64,3.6657279999999997,0.025400000000000002,-10,1,3,0.14203285905960616
