period,HRT_days_mean,Hw_meters_mean,HRT_days_min,Hw_meters_min,HRT_days_max,Hw_meters_max
2019-10-01 to 2020-03-01,1956241.919757969,0.6969524069145263,0.5830789024982933,0.5249241275292954,9070356129.356386,0.9376742695552868
2020-03-01 to 2020-03-19 15:00,1.8403989935282947,0.5250217580350531,1.4239349078831953,0.4583576316177592,5.967694399421781,0.6253872381420243
2020-03-19 15:00 to 2020-11-01,6422.521686564858,0.3165677503599833,0.16110648181178674,0,64952366.642948575,0.7459532026516918
after 2020-11-01,1129.1612348525045,0.28820877290742486,0.0526390334193953,0,18731524.042205784,0.7152197879430959
