Zw,Hw,Vw,A,Qout
111.523272,0,0,NaN,0
111.61471200000001,0.09144000000000574,0,0,0
111.706152,0.18287999999999727,0,0,0
111.79759200000001,0.274320000000003,1.23348185532,4.496507200787352,0
111.889032,0.36575999999999453,1.23348185532,3.3723804005906017,0
111.980472,0.4572000000000003,1.23348185532,2.697904320472439,0
112.07191200000001,0.548640000000006,7.40089113192,13.489521602362057,0
112.163352,0.6400799999999975,17.26874597448,26.979043204724515,0
112.25479200000001,0.7315200000000033,28.37008267236,38.782374606791166,0
112.346232,0.8229599999999948,39.47141937024,47.96274347506592,0
112.437672,0.9144000000000005,50.57275606812,55.307038569685005,0
112.52911200000001,1.0058400000000063,235.59503436612002,234.2271478228332,0.49809333873
112.620552,1.0972799999999978,2856.74397692112,2603.4776692559108,1.40649779049
112.71199200000001,1.1887200000000036,5479.12640133144,4609.2657659763645,2.5788152562899995
112.803432,1.280159999999995,8100.27534388644,6327.54916876521,3.96322590612
112.894872,1.3716000000000008,10721.424286441441,7816.728117848815,5.528581208279999
112.986312,1.4630399999999923,13343.806710851759,9120.602793397193,7.25420986446
113.077752,1.554479999999998,18983.2857533748,12211.984556491445,9.12425444034
113.16919200000001,1.6459200000000038,26634.57370192476,16182.179997767023,11.12710502865
113.260632,1.7373599999999954,34287.09513233004,19735.170104255958,13.252567564469999
113.352072,1.828800000000001,41938.38308088,22932.186724015733,15.49271333064
113.443512,1.9202399999999926,49590.904511285284,25825.367928636773,17.84046311541
113.534952,2.0116799999999984,57455.5848208056,28560.996192637816,20.28987038091
113.62639200000001,2.103120000000004,66701.76480828432,31715.62478997118,22.835554926209998
113.717832,2.1945599999999956,75949.17827761837,34607.929734260404,25.472702887319997
113.80927200000001,2.2860000000000014,85195.35826509708,37268.31070214218,28.197066737190003
113.900712,2.377439999999993,94442.77173443112,39724.565807941064,31.00468211724
113.992152,2.4688799999999986,103688.95172190983,41998.376479176746,33.8924341743
114.08359200000001,2.5603200000000044,113516.10166324428,44336.6851265639,36.85664171825999
114.175032,2.651759999999996,123631.88635872361,46622.57759326779,39.894756232889996
114.26647200000001,2.7432000000000016,133748.90453605825,48756.52687957793,43.00366286502
114.357912,2.834639999999993,143864.68923153754,50752.366872526276,46.181096266889995
114.449352,2.926079999999999,153981.7074088722,52623.8884134652,49.42450792227
114.54079200000001,3.0175200000000046,164217.13984431757,54421.226651129844,52.73191565187
114.632232,3.108959999999996,174931.16323962706,56266.778356629635,56.10048777098999
114.72367200000001,3.200400000000002,185643.95315308127,58006.48454976914,59.52909160575
114.815112,3.2918399999999934,196357.9765483908,59649.915107778994,63.01517863992
114.906552,3.383279999999999,207070.766461845,61204.14699990691,66.55733303115001
114.99799200000001,3.474720000000005,217784.78985715454,62676.93220091237,70.15385576862
115.089432,3.5661599999999964,228657.93241180034,64118.809142551254,73.80276467304
115.18087200000001,3.657600000000002,239587.81513179085,65504.105186950655,77.50292707053
