"","site","plot","site_plot","lat","lon","elevation","ind","ind_sd_lo","ind_sd_hi","ind_min","ind_max","Hw_mean","Hw_sd_lo_mean","Hw_sd_hi_mean","Hw_min_mean","Hw_max_mean","Hw_P50","Hw_sd_lo_P50","Hw_sd_hi_P50","Hw_min_P50","Hw_max_P50","Hw_P75","Hw_sd_lo_P75","Hw_sd_hi_P75","Hw_min_P75","Hw_max_P75","Hw_P90","Hw_sd_lo_P90","Hw_sd_hi_P90","Hw_min_P90","Hw_max_P90","Hw_P95","Hw_sd_lo_P95","Hw_sd_hi_P95","Hw_min_P95","Hw_max_P95","Hw_P99","Hw_sd_lo_P99","Hw_sd_hi_P99","Hw_min_P99","Hw_max_P99","Hw_P99p9","Hw_sd_lo_P99p9","Hw_sd_hi_P99p9","Hw_min_P99p9","Hw_max_P99p9"
"1","LC","0","LC.0",44.29485242,-73.17384869,83.52687857,0.522469040354534,0.604489666312316,0.454274985158699,0.779320199356647,0.334819764471995,0.0502982509543771,0.121935205316952,-0.0213387034081974,0.229738736921071,-0.171918367571131,0.020331516514247,0.0919684708768216,-0.0513054378483275,0.199772002480941,-0.201885102011261,0.298246111499495,0.369883065862069,0.22660915713692,0.477686597466189,0.0760294929739871,0.437392065036789,0.509029019399364,0.365755110674215,0.616832551003483,0.215175446511282,0.486559309202889,0.558196263565463,0.414922354840314,0.665999795169583,0.264342690677381,0.584762764442882,0.656399718805456,0.513125810080307,0.764203250409576,0.362546145917374,0.647352564112682,0.718989518475257,0.575715609750108,0.826793050079376,0.425135945587174
"2","LC","1","LC.1",44.29426616,-73.17429184,83.63401951,0.44268496403573,0.49534742451645,0.393391133875444,0.781577457788577,0.236963814835779,-0.0568426890456307,0.0236077699012541,-0.137293147992516,0.232859214185076,-0.264935890795321,-0.0868094234857608,-0.00635896453887597,-0.167259882432646,0.202892479744946,-0.294902625235451,0.191105171499487,0.271555630446372,0.110654712552602,0.480807074730194,-0.0169880302502037,0.330251125036781,0.410701583983666,0.249800666089897,0.619953028267489,0.122157923287091,0.379418369202881,0.459868828149766,0.298967910255996,0.669120272433588,0.17132516745319,0.477621824442874,0.558072283389759,0.397171365495989,0.767323727673581,0.269528622693183,0.540211624112674,0.620662083059559,0.459761165165789,0.829913527343381,0.332118422362984
"3","LC","2","LC.2",44.29442677,-73.17437813,83.91616429,0.148647715820137,0.352242762276863,0.0159319647122168,0.473113083815388,0,-0.338987469045627,-0.162785520126455,-0.515189417964798,-0.0057043986521207,-0.900990958710729,-0.368954203485757,-0.192752254566585,-0.545156152404928,-0.0356711330922508,-0.930957693150859,-0.091039608500509,0.0851623404186626,-0.26724155741968,0.242243461892997,-0.653043098165611,0.0481063450367856,0.224308293955957,-0.128095603882386,0.381389415430291,-0.513897144628316,0.0972735892028851,0.273475538122057,-0.0789283597162864,0.430556659596391,-0.464729900462217,0.195477044442878,0.37167899336205,0.0192750955237067,0.528760114836384,-0.366526445222224,0.258066844112678,0.43426879303185,0.0818648951935069,0.591349914506184,-0.303936645552424
"4","LC","3","LC.3",44.29576358,-73.17353652,83.89509524,0.176086866483509,0.296625847334778,0.051951458589317,0.405105407756133,0.000517719823837202,-0.317918419045632,-0.202992296458667,-0.432844541632598,-0.129131761812623,-0.604649034761927,-0.347885153485763,-0.232959030898797,-0.462811276072728,-0.159098496252753,-0.634615769202057,-0.0699705585005148,0.0449555640864503,-0.18489668108748,0.118816098732495,-0.356701174216809,0.0691753950367797,0.184101517623745,-0.0457507275501854,0.257962052269789,-0.217555220679515,0.118342639202879,0.233268761789844,0.00341651661591413,0.307129296435889,-0.168387976513415,0.216546094442872,0.331472217029837,0.101619971855907,0.405332751675882,-0.070184521273422,0.279135894112673,0.394062016699638,0.164209771525707,0.467922551345682,-0.00759472160362176
"5","LC","4","LC.4",44.29491848,-73.17436702,83.99556818,0.0638314028136346,0.231738296080516,0.00263001670509298,0.458257976336752,0,-0.418391359045636,-0.27185555935413,-0.564927158737141,-0.0164845234238341,-0.820828700669928,-0.448358093485766,-0.30182229379426,-0.594893893177272,-0.0464512578639642,-0.850795435110058,-0.170443498500518,-0.0239076988090119,-0.316979298192024,0.231463337121284,-0.57288084012481,-0.0312975449632233,0.115238254728283,-0.177833344654729,0.370609290658578,-0.433734886587516,0.0178696992028762,0.164405498894382,-0.12866610048863,0.419776534824678,-0.384567642421416,0.116073154442869,0.262608954134375,-0.0304626452486367,0.517979990064671,-0.286364187181423,0.178662954112669,0.325198753804175,0.0321271544211635,0.580569789734471,-0.223774387511623
"6","OCD","0","OCD.0",43.78184842,-73.09708209,77.29694,0.745147968443276,0.783843846068373,0.69851661172636,0.804789066261713,0.510935590207045,0.200925371079294,0.322596309216977,0.0792544329416107,0.436409243342383,-0.133933774235714,0.345104644347579,0.466775582485262,0.223433706209896,0.580588516610668,0.0102454990325711,0.447410295798846,0.569081233936529,0.325739357661163,0.682894168061935,0.112551150483839,0.553230468637537,0.67490140677522,0.431559530499854,0.788714340900626,0.218371323322529,0.777355517795222,0.899026455932905,0.655684579657539,1.01283939005831,0.442496372480214,1.08513013646163,1.20680107459931,0.963459198323945,1.32061400872472,0.75027099114662,1.22272910094533,1.34440003908302,1.10105816280765,1.45821297320842,0.887869955630325
"7","OCD","1","OCD.1",43.78120158,-73.09538026,77.70650233,0.34234601281529,0.433932738249565,0.266120967443239,0.508315122782325,0.201507463239379,-0.208636958920706,-0.178949345863046,-0.238324571978367,-0.136472274127399,-0.289655257525907,-0.064457685652421,-0.0347700725947604,-0.0941452987100817,0.00770699914088624,-0.145475984257622,0.0378479657988464,0.0675355788565071,0.00816035274118576,0.110012650592154,-0.0431703328063548,0.143668138637537,0.173355751695198,0.113980525579876,0.215832823430844,0.0626498400323356,0.367793187795222,0.397480800852883,0.338105574737561,0.439957872588529,0.286774889190021,0.675567806461628,0.705255419519288,0.645880193403967,0.747732491254935,0.594549507856426,0.813166770945333,0.842854384002994,0.783479157887672,0.88533145573864,0.732148472340132
"8","OCD","2","OCD.2",43.78118283,-73.09743025,77.66302273,0.456628023260121,0.58297529538131,0.229277010259639,0.638727360272603,0.0827993629393681,-0.165157358920694,-0.0681370276763995,-0.262177690164989,0.0202100753852084,-0.374778938286695,-0.0209780856524091,0.0760422455918857,-0.117998416896704,0.164389348653494,-0.23059966501841,0.0813275657988584,0.178347897043153,-0.0156927654454364,0.266695000104761,-0.128294013567142,0.187147738637549,0.284168069881844,0.0901274073932541,0.372515172943451,-0.0224738407284519,0.411272787795234,0.508293119039529,0.314252456550939,0.596640222101136,0.201651208429233,0.71904740646164,0.816067737705934,0.622027075217345,0.904414840767542,0.509425827095639,0.856646370945345,0.95366670218964,0.75962603970105,1.04201380525125,0.647024791579344
"9","OCD","3","OCD.3",43.78181527,-73.09560501,78.00630238,0.0577428793659025,0.0651968591429312,0.0505389088484759,0.150672247120264,0.0431034482758621,-0.508437008920694,-0.44427930383992,-0.572594714001468,-0.320955781246695,-0.623652009273996,-0.364257735652409,-0.300100030571635,-0.428415440733183,-0.17677650797841,-0.479472736005711,-0.261952084201141,-0.197794379120367,-0.326109789281915,-0.0744708565271424,-0.377167084554443,-0.156131911362451,-0.0919742062816766,-0.220289616443225,0.0313493163115481,-0.271346911715753,0.0679931377952343,0.132150842876008,0.0038354327144603,0.255474365469233,-0.047221862558068,0.37576775646164,0.439925461542414,0.311610051380866,0.563248984135639,0.260552756108338,0.513366720945345,0.577524426026119,0.449209015864571,0.700847948619344,0.398151720592043
"10","OCD","4","OCD.4",43.78139426,-73.09811883,77.82101905,0.144440534834623,0.35672617504352,0.0655765028334383,0.586956924330531,0.0425478721434127,-0.323153678920704,-0.204930605299452,-0.441376752541955,-0.0576335830954941,-0.628586952236091,-0.178974405652419,-0.0607513320311668,-0.29719747927367,0.086545690172791,-0.484407678967806,-0.076668754201151,0.0415543194201007,-0.194891827822403,0.188851341624058,-0.382102027516538,0.0291514186375395,0.147374492258791,-0.0890716549837123,0.294671514462749,-0.276281854677848,0.253276467795224,0.371499541416476,0.135053394173973,0.518796563620434,-0.0521568055201627,0.56105108646163,0.679274160082882,0.442828012840378,0.82657118228684,0.255617813146243,0.698650050945335,0.816873124566587,0.580426977324084,0.964170146770545,0.393216777629948
