"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b"
"1",0,0,23740.7037354912,0.157845504949161,0.0789227524745803,0,0,0,0,1.72419552518706,7.83175497836926,0.0078395945729422,12.7603140593227,0.0082295454437031
"2",1,0,23740.7037354912,0.15945457107955,0.0782953489040129,0,0,0,0.000221661800578923,1.72423902421278,7.8322570446541,0.00975984234415632,12.7582867014538,0.00658776587041238
"3",2,0,23740.7037354912,0.160920085481104,0.0776756897850212,0,0,0,0.000220769861202109,1.72414053629058,7.83275785286009,0.0116559763998345,12.7552671570065,0.00646389263508845
"4",3,0,23740.7037354912,0.162372945990315,0.0770636458391749,0,0,0,0.000219893754490416,1.72403095769158,7.83325740817814,0.0135282578311374,12.7521719562443,0.00645689479021049
"5",4,0,23740.7037354912,0.16382465310726,0.0764591365756793,0,0,0,0.000219913259221755,1.72392178735707,7.83375572504593,0.0153769808825315,12.7490816273436,0.00646213674807116
"6",5,0,23740.7037354912,0.165276464009766,0.0758620849195503,0,0,0,0.00022007480090336,1.72381428086587,7.8342528190751,0.0172024476922429,12.7460049735021,0.00646881545382826
"7",6,0,23740.7037354912,0.166728512030524,0.0752724056859532,0,0,0,0.000220253467083036,1.72370856975237,7.83474870775616,0.019004994100086,12.7429429282672,0.00647558926005942
"8",7,0,23740.7037354912,0.168180794567113,0.0746900407880099,0,0,0,0.000220434680974608,1.72360465017628,7.83524340302914,0.0207848487703681,12.739895473216,0.00648231509148624
"9",8,0,23740.7037354912,0.169633287534983,0.0741149008859193,0,0,0,0.000220612593636998,1.72350249613362,7.83573692325484,0.0225423626447493,12.7368624391869,0.00648893808471487
"10",9,0,23740.7037354912,0.17108597939964,0.0735469554782269,0,0,0,0.000220788048205808,1.72340209542542,7.8362292746981,0.0242776550759667,12.7338437451113,0.00649546708248201
"11",10,0,23740.7037354912,0.172538840148996,0.0729861125694242,0,0,0,0.000220959548579768,1.72330341604343,7.83672047625717,0.0259910864410126,12.7308391800363,0.00650188927445872
"12",11,0,23740.7037354912,0.173991842053464,0.0724322947177889,0,0,0,0.00022112806870263,1.72320642855762,7.83721054383147,0.0276829590849282,12.7278485488572,0.00650821514824266
"13",12,0,23740.7037354912,0.175444960232946,0.0718854315030212,0,0,0,0.000221294353484591,1.72311110652371,7.83769949187032,0.0293535470335132,12.7248716762729,0.00651445252949504
"14",13,0,23740.7037354912,0.176898171947161,0.0713454546780009,0,0,0,0.000221458064306048,1.72301742567106,7.83818733437001,0.0310031151298922,12.7219084018091,0.00652059864986693
"15",14,0,23740.7037354912,0.178351454809516,0.070812296458911,0,0,0,0.000221618746281366,1.72292536208025,7.83867408522579,0.0326319257877053,12.7189585673082,0.00652664990273962
"16",15,0,23740.7037354912,0.17980478592214,0.0702858893196967,0,0,0,0.000221776497278811,1.72283489131371,7.83915975827424,0.0342402398070573,12.7160220108728,0.00653260831245699
"17",16,0,23740.7037354912,0.181258142366425,0.069766166168962,0,0,0,0.000221931643392969,1.72274598891007,7.83964436725692,0.0358283156831546,12.713098570302,0.00653847798841476
"18",17,0,23740.7037354912,0.182711501810109,0.0692530604960006,0,0,0,0.000222084286393128,1.72265863099447,7.84012792579026,0.0373964090403577,12.710188087345,0.00654426055677546
"19",18,0,23740.7037354912,0.184164842458119,0.0687465064280024,0,0,0,0.00022223433473926,1.72257279423068,7.8406104473539,0.0389447724196658,12.7072904073592,0.0065499557350515
"20",19,0,23740.7037354912,0.185618142731508,0.0682464387365323,0,0,0,0.000222381750471966,1.72248845550037,7.84109194528954,0.0404736552668359,12.7044053770648,0.00655556397936841
"21",20,0,23740.7037354912,0.187071381202391,0.0677527928278945,0,0,0,0.000222526611652586,1.72240559183797,7.841572432803,0.0419833039828988,12.701532844091,0.00656108696256402
"22",21,0,23740.7037354912,0.188524536742996,0.0672655047325363,0,0,0,0.00022266900460613,1.72232418057961,7.84205192296647,0.0434739619774679,12.6986726580226,0.00656652629306118
"23",22,0,23740.7037354912,0.189977588598463,0.0667845110968845,0,0,0,0.000222808957236824,1.72224419943588,7.84253042872025,0.0449458697123167,12.6958246709114,0.00657188288700318
"24",23,0,23740.7037354912,0.191430516322599,0.0663097491769532,0,0,0,0.000222946473383948,1.72216562642755,7.84300796287417,0.0463992647380905,12.6929887368283,0.00657715747834648
"25",24,0,23740.7037354912,0.192883299715225,0.0658411568326255,0,0,0,0.000223081578870841,1.72208843982295,7.84348453810883,0.0478343817282006,12.6901647114273,0.00658235110536337
"26",25,0,23740.7037354912,0.194335918834088,0.0653786725220756,0,0,0,0.000223214319067,1.72201261814985,7.84396016697687,0.049251452511774,12.6873524520305,0.00658746497515601
"27",26,0,23740.7037354912,0.195788354029192,0.0649222352967886,0,0,0,0.000223344733781336,1.72193814022982,7.84443486190402,0.0506507061028707,12.6845518178703,0.00659250015257868
"28",27,0,23740.7037354912,0.197240585943828,0.0644717848092076,0,0,0,0.000223472849187713,1.72186498517928,7.84490863518753,0.0520323686726719,12.6817626700961,0.00659745758160323
"29",28,0,23740.7037354912,0.198692595454609,0.0640272612237548,0,0,0,0.000223598693166165,1.7217931323493,7.84538149901519,0.0533966639746077,12.6789848713747,0.0066023382340584
"30",29,0,23740.7037354912,0.200144363706869,0.0635886052931036,0,0,0,0.00022372229617388,1.72172256136125,7.84585346544909,0.0547438129893481,12.676218286122,0.00660714310154316
"31",30,0,23740.7037354912,0.201595872128694,0.0631557583853072,0,0,0,0.000223843690118674,1.72165325212086,7.84632454641985,0.0560740338024583,12.6734627805955,0.00661187317659614
"32",31,0,23740.7037354912,0.203047102447459,0.0627286625130975,0,0,0,0.000223962905155304,1.72158518483493,7.84679475372035,0.0573875414740618,12.6707182230043,0.00661652942004189
"33",32,0,23740.7037354912,0.204498036626326,0.0623072601997461,0,0,0,0.000224079969617853,1.72151833994738,7.8472640990345,0.0586845486784466,12.6679844830955,0.00662111276786865
"34",33,0,23740.7037354912,0.205948656859879,0.0618914944778757,0,0,0,0.000224194912139705,1.721452698135,7.84773259393747,0.0599652657142629,12.6652614321245,0.00662562415821684
"35",34,0,23740.7037354912,0.207398945589408,0.0614813089230638,0,0,0,0.000224307762030638,1.72138824032277,7.84820024988854,0.0612299003505115,12.6625489429551,0.0066300645279783
"36",35,0,23740.7037354912,0.208848885510449,0.0610766476666444,0,0,0,0.000224418547871389,1.72132494769147,7.84866707822842,0.0624786577714555,12.6598468901096,0.00663443479350449
"37",36,0,23740.7037354912,0.210298459568142,0.060677455387355,0,0,0,0.000224527297030443,1.72126280167299,7.84913309018105,0.0637117406216844,12.6571551497392,0.0066387358519485
"38",37,0,23740.7037354912,0.211747650949021,0.0602836772985993,0,0,0,0.000224634036615129,1.72120178394217,7.84959829685631,0.0649293490716205,12.6544735995698,0.00664296859521347
"39",38,0,23740.7037354912,0.213196443076501,0.0598952591402131,0,0,0,0.000224738794005045,1.72114187641221,7.85006270925189,0.0661316808614286,12.651802118873,0.00664713391016727
"40",39,0,23740.7037354912,0.214644819609386,0.0595121471741155,0,0,0,0.000224841596245017,1.72108306123321,7.85052633825416,0.0673189313263892,12.6491405884567,0.00665123266920247
"41",40,0,23740.7037354912,0.216092764439698,0.0591342881806819,0,0,0,0.000224942469548444,1.72102532079001,7.85098919463903,0.0684912934188156,12.6464888906518,0.00665526572982987
"42",41,0,23740.7037354912,0.217540261689253,0.0587616294543201,0,0,0,0.000225041439690444,1.72096863769873,7.85145128907289,0.0696489577336853,12.6438469092894,0.00665923394141669
"43",42,0,23740.7037354912,0.218987295706615,0.0583941187984309,0,0,0,0.000225138532459519,1.72091299480376,7.85191263211373,0.0707921125370902,12.6412145296813,0.0066631381459596
"44",43,0,23740.7037354912,0.220433851064712,0.0580317045203256,0,0,0,0.000225233773420921,1.72085837517536,7.85237323421224,0.0719209437947705,12.6385916386049,0.00666697917364873
"45",44,0,23740.7037354912,0.221879912558127,0.0576743354263521,0,0,0,0.000225327187538024,1.72080476210691,7.85283310571286,0.0730356351995581,12.6359781242857,0.00667075784236409
"46",45,0,23740.7037354912,0.223325465200009,0.0573219608171808,0,0,0,0.000225418799323901,1.72075213911191,7.85329225685485,0.0741363681979647,12.6333738763772,0.006674474960918
"47",46,0,23740.7037354912,0.224770494219274,0.0569745304831427,0,0,0,0.000225508633187237,1.72070048992109,7.85375069777327,0.0752233220164394,12.6307787859432,0.00667813132976552
"48",47,0,23740.7037354912,0.226214985058238,0.0566319946995899,0,0,0,0.000225596713248788,1.72064979848009,7.85420843850003,0.0762966736874014,12.6281927454422,0.00668172773861437
"49",48,0,23740.7037354912,0.22765892336992,0.0562943042222713,0,0,0,0.000225683063223177,1.72060004894675,7.85466548896485,0.077356598075137,12.6256156487102,0.00668526496704698
"50",49,0,23740.7037354912,0.229102295015345,0.0559614102827511,0,0,0,0.000225767706482761,1.7205512256884,7.85512185899633,0.078403267901394,12.6230473909434,0.00668874378528346
"51",50,0,23740.7037354912,0.230545086060946,0.0556332645838786,0,0,0,0.000225850666124923,1.72050331327928,7.85557755832286,0.0794368537706455,12.6204878686813,0.00669216495431964
"52",51,0,23740.7037354912,0.231987282776042,0.0553098192953032,0,0,0,0.000225931964961559,1.72045629649801,7.85603259657367,0.0804575241950445,12.6179369797906,0.00669552922578984
"53",52,0,23740.7037354912,0.233428871630338,0.0549910270490524,0,0,0,0.000226011625494516,1.72041016032507,7.85648698327975,0.0814654456189818,12.6153946234487,0.0066988373420052
"54",53,0,23740.7037354912,0.234869839291391,0.0546768409350693,0,0,0,0.000226089669920431,1.7203648899403,7.85694072787484,0.0824607824438152,12.6128607001279,0.0067020900361394
"55",54,0,23740.7037354912,0.236310172622452,0.0543672144974071,0,0,0,0.000226166120145409,1.72032047072072,7.85739383969625,0.0834436970489125,12.6103351115811,0.00670528803236346
"56",55,0,23740.7037354912,0.237749858679525,0.0540621017290147,0,0,0,0.000226240997795537,1.72027688823757,7.85784632798602,0.0844143498204491,12.607817760823,0.00670843204598523
"57",56,0,23740.7037354912,0.239188884708855,0.0537614570672514,0,0,0,0.000226314324211294,1.72023412825383,7.85829820189186,0.0853728991761027,12.6053085521138,0.0067115227835085
"58",57,0,23740.7037354912,0.240627238144899,0.0534652353902579,0,0,0,0.000226386120447031,1.72019217672217,7.858749470468,0.0863195015849627,12.6028073909459,0.00671456094271419
"59",58,0,23740.7037354912,0.242064906608223,0.0531733920132025,0,0,0,0.00022645640728381,1.72015101978286,7.85920014267593,0.0872543115880889,12.600314184031,0.00671754721279875
"60",59,0,23740.7037354912,0.243501877903039,0.0528858826838712,0,0,0,0.000226525205235143,1.72011064376127,7.85965022738542,0.0881774818226761,12.5978288392834,0.00672048227448854
"61",60,0,23740.7037354912,0.244938140014711,0.0526026635781787,0,0,0,0.000226592534541472,1.72007103516543,7.86009973337548,0.0890891630465975,12.5953512658043,0.00672336680010787
"62",61,0,23740.7037354912,0.246373681107473,0.0523236912960528,0,0,0,0.00022665841517378,1.72003218068369,7.86054866933526,0.0899895041608307,12.5928813738672,0.00672620145367638
"63",62,0,23740.7037354912,0.247808489522283,0.0520489228575631,0,0,0,0.000226722866846248,1.71999406718263,7.86099704386487,0.0908786522304836,12.5904190749037,0.00672898689104182
"64",63,0,23740.7037354912,0.249242553774665,0.0517783156990074,0,0,0,0.000226785909018027,1.71995668170483,7.86144486547627,0.0917567525060253,12.5879642814896,0.00673172375997692
"65",64,0,23740.7037354912,0.250675862552502,0.0515118276688957,0,0,0,0.000226847560888183,1.71992001146675,7.86189214259411,0.0926239484450391,12.585516907331,0.00673441270024217
"66",65,0,23740.7037354912,0.252108404713841,0.0512494170239544,0,0,0,0.000226907841402435,1.71988404385643,7.86233888355662,0.0934803817338252,12.5830768672496,0.00673705434368248
"67",66,0,23740.7037354912,0.253540169284755,0.0509910424252295,0,0,0,0.000226966769264325,1.71984876643146,7.86278509661644,0.0943261923084114,12.5806440771695,0.00673964931435544
"68",67,0,23740.7037354912,0.254971145457254,0.0507366629342609,0,0,0,0.00022702436293196,1.71981416691678,7.86323078994148,0.095161518375131,12.5782184541029,0.00674219822861511
"69",68,0,23740.7037354912,0.256401322587218,0.0504862380092766,0,0,0,0.000227080640619207,1.71978023320272,7.8636759716157,0.0959864964310573,12.5757999161376,0.00674470169518445
"70",69,0,23740.7037354912,0.257830690192331,0.0502397275013975,0,0,0,0.000227135620302038,1.71974695334284,7.86412064963999,0.0968012612843378,12.5733883824229,0.00674716031524962
"71",70,0,23740.7037354912,0.259259237950041,0.0499970916508773,0,0,0,0.000227189319723112,1.71971431555194,7.86456483193294,0.0976059460743045,12.570983773157,0.00674957468256366
"72",71,0,23740.7037354912,0.260686955695553,0.0497582910833878,0,0,0,0.000227241756393098,1.71968230820404,7.86500852633169,0.0984006822912893,12.5685860095735,0.00675194538353427
"73",72,0,23740.7037354912,0.262113833419855,0.0495232868063462,0,0,0,0.00022729294759293,1.7196509198304,7.86545174059267,0.0991855997961787,12.566195013929,0.00675427299730232
"74",73,0,23740.7037354912,0.263539861267749,0.0492920402052729,0,0,0,0.000227342910377816,1.71962013911757,7.86589448239246,0.0999608268397618,12.5638107094904,0.00675655809582867
"75",74,0,23740.7037354912,0.264965029535924,0.0490645130401794,0,0,0,0.000227391661580701,1.71958995490541,7.86633675932852,0.100726490081881,12.5614330205219,0.00675880124398585
"76",75,0,23740.7037354912,0.266389328671035,0.0488406674419907,0,0,0,0.000227439217814712,1.71956035618524,7.86677857891998,0.101482714610359,12.5590618722733,0.00676100299964302
