X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
247,246,1.33572713118857,20244.8794447896,0.229371581541779,0.678294186393889,7.93691884549922e-4,0.00311208692671188,0.00537708602704156,0.0120798552609221,2.02908352828792,14.0873977846642,0.316279643255015,15.6024750211397,0.0131457686097812,0.291136722081461,0.00117199625859954,4.49870441892309e-4,1.12467610473077e-4,8.09712775401675e-4,0.133572713118857,5.37708602704156e-4,3.11208692671188e-4,7.93691884549922e-5,0.00120798552609221,2020-03-17,1,OCSP.0,1,1,100,75.09847021,75.86001207279573,0.9138502353548688,0.9138512353548688,5.611111111111111,0.019843631299875097,0.019843631299875097,7.1079360000000005,0,3.888888888888889,5.611111111111111,1,0.36160318406709824,TRUE,0,0,0.0036160318406709825,0.03300952512914905,0.009138512353548688,0.009138512353548688,0.04214803748269774,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97741023399151,0.002544047086366601,0.002136272009922546
248,247,1.37085131791978,20244.9901896309,0.226979279290342,0.680038192942101,8.16230959912342e-4,0.00319728380629607,0.00551848150316362,0.0124091345116204,2.03023407654766,14.0880698184743,0.317769778406048,15.5996675772475,0.0130020189585102,0.271650863130252,0.00109355423444284,4.19760492469374e-4,1.04940123117343e-4,7.55518482013791e-4,0.137085131791978,5.51848150316362e-4,3.19728380629607e-4,8.16230959912342e-5,0.00124091345116204,2020-03-18,1,OCSP.0,1,1,100,75.09847021,75.87654843221229,0.9336938666547439,0.9336948666547439,5.611111111111111,0,0,2.1457919999999997,0,3.888888888888889,5.611111111111111,1,0.29421367577695634,TRUE,0,0,0.0029421367577695634,0.02278576805764466,0.009336948666547438,0.009336948666547438,0.0321227167241921,3.469446951953614e-18,3.469446951953614e-18,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97770187264745,0.0023737733320433477,0.0021941130780992434
249,248,1.37109198001147,20245.1013371162,0.227995837667674,0.678331202979886,8.24538154109936e-4,0.00322510386027998,0.00551945030939678,0.0126086420936366,2.03145621204057,14.0887840473511,0.319347493612728,15.5966906671161,0.0128837609390586,0.226077185417095,9.10093421294386e-4,3.49339109742742e-4,8.73347774356855e-5,6.287684492369e-4,0.137109198001147,5.51945030939678e-4,3.22510386027998e-4,8.24538154109936e-5,0.00126086420936366,2020-03-19,1,OCSP.0,1,1,100,75.09847021,75.87654843221229,0.9336938666547439,0.9336948666547439,7.388888888888889,0.0065064910397723,0.0065064910397723,3.7104320000000004,0.1778,6.111111111111111,7.388888888888889,2,0.4935179073636082,TRUE,0,0.001778,0.004935179073636082,0.003157179073636082,0.009336948666547438,0.009336948666547438,0.01249412774018352,8.673617379884035e-19,8.673617379884035e-19,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97766695612454,0.0019755357577097136,0.0022177734417423295
250,249,1.35621391118141,20245.2111132003,0.230366795724607,0.675132558401624,8.25713111113915e-4,0.00322221670396174,0.00545955734612041,0.0127250901971284,2.03294507843369,14.089650682134,0.32124650608792,15.593343131763,0.012549431159073,0.236225348606249,9.50945737018468e-4,3.65020259910472e-4,9.1255064977618e-5,6.56992636561576e-4,0.135621391118141,5.45955734612041e-4,3.22221670396174e-4,8.25713111113915e-5,0.00127250901971284,2020-03-20,1,OCSP.0,1,1,100,75.09847021,75.88197050807877,0.9402003576945162,0.9402013576945162,11.38888888888889,-0.029476748630844374,-0.029476748630844374,7.59968,0.3556,11.11111111111111,11.38888888888889,2,0.43832608442770304,TRUE,0,0.003556,0.00438326084427703,0.00733375188404933,0.009402013576945163,0.009402013576945163,0.016735765460994492,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97746676106224,0.002064213698468134,0.0022232577358324464
251,250,1.31766261028931,20245.3205635787,0.230630528289612,0.674188386497465,8.12742753222029e-4,0.00316730905458365,0.00530436572313774,0.0126139016831284,2.0341876902739,14.0903732623336,0.322820756770089,15.5898564302895,0.0129424209436445,0.211916511177653,8.53088392491357e-4,3.27457745097137e-4,8.18644362742841e-5,5.89384620367764e-4,0.169639546946639,6.82898786901749e-4,4.07768171354262e-4,1.04634761102067e-4,0.00162394876354996,2020-03-21,1,OCSP.0,1,1,100,75.09847021,75.8574065508864,0.9107236090636718,0.9107246090636718,1.6111111111111112,-0.06932274071681943,-0.06932274071681943,6.0350399999999995,0,-1.1111111111111112,1.6111111111111112,2,0.2749988517412184,TRUE,0,0,0.002749988517412184,-0.02672676011343219,0.009107246090636718,0.03583400620406891,0.009107246090636718,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97689779461188,0.001851795194230542,0.002819250482908038
252,251,1.21771377987127,20245.4302530347,0.228820760268416,0.67552582731513,7.64876734441446e-4,0.00298021591028215,0.00490201299187158,0.012048517984417,2.03504614122668,14.0908749616665,0.32391407475823,15.5872526676129,0.0132871995036154,0.19578580603843,7.88152832536636e-4,3.02532248247631e-4,7.56330620619077e-5,5.44521719068038e-4,0.216979263426633,8.73468943084907e-4,5.31032056756157e-4,1.36290147319199e-4,0.00214687441404968,2020-03-22,1,OCSP.0,1,1,100,75.09847021,75.79963760028905,0.8414008683468523,0.8414018683468524,1,-0.06325069613957912,-0.06325069613957912,2.771648,0,-3.333333333333333,1,2,0.2947562451852953,TRUE,0,0,0.002947562451852953,-0.06637517826496647,0.008414018683468524,0.074789196948435,0.008414018683468524,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97541725597248,0.0017108398619142128,0.0036876655612099432
253,252,1.0868922215593,20245.5376490931,0.227062913765431,0.676814772888271,6.97421450039489e-4,0.00271704614355894,0.00437537940271244,0.0112073950846552,2.0358914913123898,14.0913700002594,0.324991408030642,15.5849392651844,0.0133470311773373,0.181068004654235,7.28905039837161e-4,2.79789999296507e-4,6.99474998241268e-5,5.03588401823118e-4,0.206553689848358,8.31499887652341e-4,5.16349179162594e-4,1.32538416438736e-4,0.00212986049803797,2020-03-23,1,OCSP.0,1,1,100,75.09847021,75.7469286868394,0.7781501722072732,0.7781511722072733,1.1666666666666667,-0.038894822500827764,-0.038894822500827764,3.263392,1.143,-1.6666666666666665,1.1666666666666667,2,0.5751209257641905,TRUE,0,0.011430000000000001,0.0057512092576419045,-0.06892948688193722,0.007781511722072733,0.07671099860400996,0.007781511722072733,1.3877787807814457e-17,1.3877787807814457e-17,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.973414124698834,0.0015822309407809128,0.0036102479812916413
254,253,0.982525814839777,20245.6401603108,0.225182779521631,0.678182055223894,6.4430760819726e-4,0.00250942564437307,0.00395524333288153,0.0105948041555458,2.03680858446328,14.0919074281951,0.326158069729165,15.5825902255097,0.0132603620476953,0.172017570313127,6.92471727300544e-4,2.65805082288296e-4,6.6451270572074e-5,4.7841723050355e-4,0.152287715093428,6.130474748913e-4,3.88951304694978e-4,9.98651964026745e-5,0.0016421538165626,2020-03-24,1,OCSP.0,1,1,100,75.09847021,75.71451633475537,0.7392553497064455,0.7392563497064455,3.388888888888889,-0.05705572693946126,-0.05705572693946126,2.2352,0.5715,1.1111111111111112,3.388888888888889,3,0.42471341873541685,TRUE,0,0.0057150000000000005,0.004247134187354168,-0.040362688313473595,0.007392563497064455,0.04775525181053805,0.007392563497064455,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97179328543146,0.0015031453106644638,0.0027440177925515527
255,254,0.89293580912534,20245.739900122,0.223159352765287,0.67964010164974,5.99600297767236e-4,0.00233412851742446,0.00359459095363323,0.0101019153595894,2.03781095928443,14.0924954580046,0.327431410837603,15.5800508465551,0.0131771864194701,0.158741276008433,6.39026847032867e-4,2.4529027967994e-4,6.1322569919985e-5,4.41493049206025e-4,0.157594923234114,6.34412103990726e-4,4.11952125519954e-4,1.05823914700363e-4,0.0017828947605667601,2020-03-25,1,OCSP.0,1,1,100,75.09847021,75.66696989563916,0.6821996227669842,0.6822006227669842,3.833333333333333,-0.05208085802323126,-0.05208085802323126,2.414016,0,1.6666666666666665,3.833333333333333,3,0.40613872870976475,TRUE,0,0,0.004061387287097647,-0.05299433965236361,0.006822006227669842,0.05981634588003345,0.006822006227669842,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.97039555064464,0.001387132745838817,0.0029350829047778033
256,255,0.797206758067008,20245.8370586606,0.222891364857896,0.679244648108577,5.5006062465302e-4,0.00213918834072027,0.00320922531209709,0.00951561632194778,2.03897958210027,14.0931812181722,0.328911071412721,15.5772879367308,0.0129510552330223,0.14662258370799,5.90241994563231e-4,2.26564227461658e-4,5.66410568654144e-5,4.07788403819228e-4,0.144976446806828,5.83615326942906e-4,3.89023200756851e-4,1.00031559044857e-4,0.00173046732177488,2020-03-26,1,OCSP.0,1,1,100,75.09847021,75.6235691806198,0.630118764743753,0.630119764743753,7.833333333333333,-0.037276129297066474,-0.037276129297066474,3.889248,0.10160000000000001,6.666666666666666,7.833333333333333,3,0.1434385669789581,TRUE,0,0.0010160000000000002,0.001434385669789581,-0.05166247235344168,0.0063011976474375295,0.05796367000087921,0.0063011976474375295,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.96886096721491,0.0012812356827095314,0.002803137408519494
257,256,0.71836162050538,20245.9302948081,0.224928079656345,0.67649292313041,5.10028084585632e-4,0.00198119665298822,0.00289182733643005,0.00906265978827649,2.04025405411021,14.0939271475251,0.330510015567725,15.5741524612053,0.012874241766673,0.137948803009117,5.5532493410341e-4,2.1316132339658e-4,5.3290330849145e-5,3.83664785909753e-4,0.111904280683557,4.50480438691294e-4,3.08625043455615e-4,7.94506893252662e-5,0.00141175474265093,2020-03-27,1,OCSP.0,1,1,100,75.09847021,75.59250573953891,0.5928426354466865,0.5928436354466865,6.5,-0.043647293848374624,-0.043647293848374624,3.531616,0,5,6.5,2,0.35075225719297254,TRUE,0,0,0.0035075225719297253,-0.03376860672513675,0.005928436354466865,0.03969704307960362,0.005928436354466865,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.96758463482404,0.001205441374258888,0.002250310914123105
258,257,0.648753271902826,20246.0207295963,0.226844581736652,0.673913876517107,4.75059744701324e-4,0.0018438663519868,0.00261161286006228,0.00868856517150156,2.04145330314607,14.0946276455316,0.332002268707474,15.5710526151263,0.0129311104926499,0.127792516343112,5.14439916614989e-4,1.97467620665592e-4,4.9366905166398e-5,3.55418005478513e-4,0.111870539896698,4.50344612211973e-4,3.17954965666847e-4,8.19189550552046e-5,0.00149824982587389,2020-03-28,1,OCSP.0,1,1,100,75.09847021,75.55613299466526,0.5491953415983118,0.5491963415983119,6.055555555555555,-0.012673723316356744,-0.012673723316356744,2.056384,0,4.444444444444445,6.055555555555555,2,0.321991491521948,TRUE,0,0,0.00321991491521948,-0.04042737893315514,0.0054919634159831185,0.04591934234913826,0.0054919634159831185,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.9664445053861,0.0011166924479254921,0.0023484683588079146
259,258,0.590804227222601,20246.1065678993,0.228849843289181,0.671225995500892,4.4531867547744e-4,0.00172697903682825,0.00237833392819453,0.00839464963413017,2.04270809332252,14.0953584296993,0.33354819821591303,15.567947799184,0.0128544194251214,0.12484346828589,5.02568266536688e-4,1.92910691044419e-4,4.82276727611048e-5,3.47216079352073e-4,0.0861400432919785,3.46764254718625e-4,2.51795843939815e-4,6.49280560578999e-5,0.00122395109849563,2020-03-29,1,OCSP.0,1,1,100,75.09847021,75.5455715585683,0.5365216182819551,0.5365226182819551,7.833333333333333,0.0016873819792864175,0.0016873819792864175,5.453887999999999,1.4224,6.666666666666666,7.833333333333333,3,0.43075529833589987,TRUE,0,0.014224,0.0043075529833589985,-0.022590170332997747,0.005365226182819551,0.0279553965158173,0.005365226182819551,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.965438059911556,0.001090922709694285,0.00188743925321197
260,259,0.563027119838334,20246.187244537,0.230914519692743,0.668469777145562,4.33447832318207e-4,0.00167969191460706,0.00226651476056659,0.00839713864868645,2.04400006227563,14.0961086130048,0.335123699919903,15.5646904425286,0.0128386306894397,0.125236105115935,5.04148860329569e-4,1.93517401537595e-4,4.83793503843988e-5,3.48308085386584e-4,0.0591985166397856,2.38308790180919e-4,1.76608312908854e-4,4.55741256679361e-5,8.82902678229046e-4,2020-03-30,1,OCSP.0,1,1,100,75.09847021,75.5469777102177,0.5382090002612415,0.5382100002612416,6.944444444444445,0,0,3.442208,0.9144,5.555555555555555,6.944444444444445,3,0.5431044721779352,TRUE,0,0.009144,0.005431044721779352,-0.00202557329893423,0.005382100002612415,0.007407673301546645,0.005382100002612415,0,0,OCSP,0,6.125,0.027999999999999997,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,df.hydroclimate.1m.OCSP.0x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_0p5xC_10d_OCSP.0_2023-08-23.csv,32.96492253841286,0.0010943536976381469,0.001343393906986755
