site,plot,site.plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simdays,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,sim_IM_deposition,sim_litterP_t365,sim_shootM_t49,sim_shootM_t92,sim_shootM_t458,sim_init_TP,sim_final_TP,sim_in_TP,sim_out_TP,sim_in_DIP,sim_out_DIP,sim_delta_TP,sim_delta_TP_yr,sim_TP_retention,sim_TP_retention_efficiency,sim_TP_retention_eff2,sim_TP_check,parsheet,sim_in_IM,sim_out_IM,IO_Hx,scenario,obs_IM_a_minus_ash,Csource,Cx,Hx,CxHx
LC,0,LC.0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,365,2,100,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,0.9429185295994102,0.15866629907376,224.60845930351613,289.970255334297,405.8624714196213,24.99349025177655,25.031770840943118,0.2860872636806959,0.2532380901097354,0.13514585637659104,0.2532380901097354,0.03828058916656829,0.019140294583284145,0.03284917357096051,11.482221595024836,11.482221595024832,0.00543141559560778,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,26.919190194292398,siphon,Cx1,Hx1,Hx1 Cx1
LC,2,LC.2,5.842424242424242,0.0235,1,0.7930998839402292,0.001,0.8986323989222718,0.0021485323744670735,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.0013437142857142602,0.00102681434599156,0.0011852643158529101,0.0012150803508384508,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,365,2,100,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,0,0.231967317358174,405.66267668747895,427.8385248817977,259.7026271656102,26.809847134400762,26.867722606637898,0.11188961440232374,0.0566345553675996,0.047392932045828416,0.0566345553675996,0.05787547223713574,0.02893773611856787,0.05525505903472414,49.38354585443687,49.383545854436875,0.0026204132024115964,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,0,siphon,Cx1,Hx1,Hx1 Cx1
LC,4,LC.4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.0021485323744670735,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.0012827394239065606,15.484999999999971,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,365,2,100,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,2.513371620399994,0.185716227611294,299.1019231773326,318.56662766658417,211.42581423454908,25.494684440958466,25.544222978565735,0.08779786281476062,0.0419011547986231,0.039353395034849754,0.0419011547986231,0.049538537607269006,0.024769268803634503,0.04589670801613752,52.275427379106254,52.275427379106254,0.0036418295911314832,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,0,siphon,Cx1,Hx1,Hx1 Cx1
OCD,0,OCD.0,10.757390983000812,0.12978333333333333,0.2333333333333333,0.46108402301620716,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.001438082723418895,0.0013708880020880292,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,365,2,100,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,39.143046054799925,0.265566529677122,383.58994552163125,415.83172174748063,308.60815341888554,33.17004239124319,34.0160920809593,1.3812409211885817,0.5420919570031877,0.6231154243663412,0.5420919570031877,0.8460496897161036,0.4230248448580518,0.839148964185394,60.753265510211776,60.753265510211776,0.006900725530709639,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,180.2740347148414,siphon,Cx1,Hx1,Hx1 Cx1
OCD,2,OCD.2,4.604111288321896,0.13498333333333332,0.4920634920634894,0.39728587189900305,0.001,0.6226967541715571,8.99848780395894e-4,333.211767392559,122.46737593604402,2007.93175659104,1432.08641928521,1140.97736625514,0.00206538818181819,0.002592825,0.002329106590909095,0.002037137797781244,6.255000000000025,83.74499999999998,10,0.1,0.9374499999999998,5.196789836398223,0.1206313090294518,0.18659215532097317,506,48.6019210245445,457.398078975455,0.715412500125398,0.316935833078845,0.398476667046552,365,2,100,77.66302273,5.8,-3.6,0.36608272999998803,0.0188066666666666,0.06557,TRUE,TRUE,FALSE,338.027632043759,0.244286583772041,55.6375603928744,0.040208279647465,369.333333333333,453.333333333333,624.040742995328,Union St,UnSt,Un,Un2,7.2593175367001095,0.352717356062433,354.7779946064305,378.90528462118,260.26440874437714,48.338224001445894,48.73574752845727,0.7168363842025065,0.3469458149153945,0.33769205471628516,0.3469458149153945,0.39752352701137283,0.19876176350568642,0.369890569287112,51.60041781342084,51.60041781342084,0.02763295772426083,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,2.862113126998999,siphon,Cx1,Hx1,Hx1 Cx1
OCD,4,OCD.4,16.122527472527473,0.13761666666666666,0.29381778037534895,0.43305313160381603,0.001,0.6226967541715571,8.99848780395894e-4,369.424229098895,153.56065391367002,1387.69426822105,444.640026548937,540.718918918918,0.0012582019230768999,0.0015570414507772,0.00140762168692705,0.0012141932111449636,15.989999999999965,75.26000000000003,8.75,0.0875,0.8401000000000003,5.001352208575525,0.09233054552352693,0.17654644294310856,243.074074074074,23.4000582114528,219.674015862621,0.22410797496054,0.0781563808908914,0.145951594069649,365,2,100,77.82101905,5.8,-3.6,0.5240790499999974,0.0229639166666666,0.0601306666666666,TRUE,TRUE,FALSE,405.506307033635,0.183777432466555,96.5661467624383,0.0437642478239369,809.333333333333,488,802.634036628523,Union St,UnSt,Un,Un4,22.90337042920146,0.219249073294788,385.9007991070067,406.0103588503488,245.6779718861792,32.70074521355189,33.08938510483735,0.6119066228030823,0.2391283217757139,0.2632000364951918,0.2391283217757139,0.3886398912854574,0.1943199456427287,0.3727783010273684,60.92078221342152,60.92078221342151,0.015861590258088976,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,1.4326566251907025,siphon,Cx1,Hx1,Hx1 Cx1
OCSP,0,OCSP.0,7.072297790285597,0.10941041666666666,0.4261835485239737,0.4401020059390625,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.002114800736592615,0.0016183052916145923,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.4469039267027926,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,365,2,100,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,28.0551071969021,0.337544820170146,381.1322252742323,449.74572969885617,451.72279974597615,33.00877684687167,33.696220629447794,1.407115810083791,0.7485516157988612,0.642265729919472,0.7485516157988612,0.6874437825761248,0.3437218912880624,0.6585641942849298,46.802415946539156,46.802415946539156,0.02887958829119497,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,32.283647597743496,siphon,Cx1,Hx1,Hx1 Cx1
OCSP,2,OCSP.2,7.440721649484536,0.28875,0,0.6701377011670392,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,365,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,45.651793468001415,0.272171951560917,305.67111839937513,377.10067193863574,460.3168508597687,44.58459211189371,47.185338426166695,4.4921237917653825,1.989317022044582,2.212881115264571,1.989317022044582,2.600746314272982,1.300373157136491,2.5028067697208005,55.7154452045323,55.71544520453231,0.09793954455218135,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,105.98114630467418,siphon,Cx1,Hx1,Hx1 Cx1
OCSP,4,OCSP.4,7.208077814765488,0.1510359375,0.20122928020148328,0.5443637339770545,0.001,1.4192113250241647,9.383718100787632e-4,184.218894527124,47.05377199815902,505.249639402518,277.930990779603,1086.76239669421,0.00112845598006643,0.0042594693877551,0.002693962683910765,0.0015411732070823197,24.085000000000036,68.41499999999996,7.5,0.075,0.7591499999999997,3.775993712508853,0.13297581035271647,0.1731102200487646,278.814814814814,46.0126609910497,232.802153823765,0.398397047695111,0.126733907565323,0.271663140129787,365,2,100,76.17881,1.1,-2.3,1.0803397899999965,0.022903,0.145474909090909,TRUE,TRUE,FALSE,222.745139812483,0.142453723309971,36.4643245796891,0.0233202789911956,29.3333333333333,305.333333333333,337.773333333333,Swamp Rd,SwRd,Sw,Sw4,3.623387142099091,0.229690210662231,239.0533551084302,288.4548764028659,340.6486236311886,36.26090854605418,36.42121076591812,0.1661122250639321,0.007923656517170282,0.07916795856116435,0.007923656517170282,0.16030221986393656,0.08015110993196828,0.15818856854676183,95.22993776399016,95.22993776399016,0.002113651317174725,pars_lcbp_siphon_100d,NA,NA,NA,siphon_100d,22.7324456086732,siphon,Cx1,Hx1,Hx1 Cx1
LC,0,LC.0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.0021485323744670735,150.725081711143,93.71129750451499,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.0016586422018348601,0.0013273563772472894,0.0010472411303890582,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,NA,2,10,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,4.0373935557981895,0.15863606401479,224.67733190776934,289.73297643841585,410.9832037060907,24.99349025177655,25.322200412754903,0.9611259684321808,0.6355386701967866,0.4540299711997004,0.6355386701967866,0.32871016097835337,0.16435508048917669,0.32558729823539423,33.87561141090617,33.87561141090617,0.0031228627429591427,pars_lcbp_siphon_10d,0.9611259684321808,0.6355386701967866,NA,siphon_10d,26.919190194292398,siphon,Cx1,Hx1,Hx1 Cx1
