X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,IO_Hx,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
650,649,0.133621239169495,31811.8462180361,0.264625215805826,0.567093406772836,2.47798623682752e-4,9.57840016667398e-4,5.37903948551923e-4,0.00776320182779454,2.0829990744217,12.517553345665,0.438660181636516,28.6833495895812,0.0123898630517337,0.00347123839084321,1.39737727954394e-5,4.95684567205617e-6,1.23921141801404e-6,9.65424784422782e-6,0.0211905061693007,8.53042301592647e-5,1.51900363359505e-4,3.92974821707263e-5,0.00123113793321985,2021-04-24,1,OCSP.2,1,1,100,75.18614762,75.32631597478166,0.16820202573799747,0.16820302573799747,11.833333333333334,-0.05832337533905729,-0.05832337533905729,2.548128,0.0889,11.666666666666666,11.833333333333334,3,0.5220861280475333,FALSE,0,8.89e-4,0.005220861280475333,-0.02605312797517034,0.0016820302573799747,0.027735158232550315,0.0016820302573799747,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.57617742135151,2.982407772973743e-5,0.001507640008909346
651,650,0.0633699931665535,31811.8903019784,0.267096271605702,0.564083133880002,1.74499064652764e-4,6.70871105603721e-4,2.55101432645444e-4,0.00595054982819258,2.08445486743294,12.5184261470871,0.439697398415077,28.6803936368079,0.0123940492907676,0.00226760760791159,9.12845213562795e-6,3.23808960711218e-6,8.09522401778044e-7,6.30669616871723e-6,0.0333485508352067,1.3424749900716e-4,3.53046892561529e-4,9.18303859205735e-5,0.00313148547959206,2021-04-25,1,OCSP.2,1,1,100,75.18614762,75.27771316199912,0.10987865039894018,0.10987965039894018,10.944444444444445,-0.05278348191683904,-0.05278348191683904,2.369312,0.1778,10.555555555555555,10.944444444444445,3,0.2683099465321017,FALSE,0,0.001778,0.0026830994653210174,-0.057418275873736276,0.0010987965039894018,0.05851707237772568,0.0010987965039894018,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.573596525950585,1.9482760313235403e-5,0.0037106102570813224
652,651,0.0155531128271512,31811.9165673258,0.269136777338106,0.561609786634339,8.30145221120323e-5,3.17750912843443e-4,6.26104117428973e-5,0.00322626663032267,2.08565700701424,12.519146084842,0.440545021610221,28.677618086348,0.012676258961465,0.00117830467754986,4.74336821444452e-6,1.68259099020214e-6,4.20647747550534e-7,3.27711442207113e-6,0.0143469114658002,5.77547429955331e-5,2.93108155608814e-4,7.65764392217294e-5,0.00297605773356839,2021-04-26,1,OCSP.2,1,1,100,75.18614762,75.23372692706842,0.05709516848210114,0.05709616848210114,6.055555555555555,-0.024740020517913304,-0.024740020517913304,5.766816,0.0889,4.444444444444445,6.055555555555555,3,0.12153255772810412,FALSE,0,8.89e-4,0.0012153255772810413,-0.052457156339558005,5.709616848210114e-4,0.05302811802437902,5.709616848210114e-4,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.570078665225395,1.0123721374268325e-5,0.0034034970713944664
653,652,0.00288685726820874,31811.9238725718,0.27102250994531,0.559333993804575,3.21730263340121e-5,1.22660098976446e-4,1.16212956347872e-5,0.00166778490171619,2.08676796385737,12.5198084968506,0.441312512816689,28.6751338396643,0.012695773334589,6.67740086721399e-4,2.688045938552e-6,9.53516925733056e-7,2.38379231433264e-7,1.85712635287161e-6,0.00201775315982751,8.1226412703567e-6,8.57326079193546e-5,2.24871614754086e-5,0.00116568917085344,2021-04-27,1,OCSP.2,1,1,100,75.18614762,75.21311024330349,0.032355147964187835,0.032356147964187836,8.722222222222221,-0.009618560373490934,-0.009618560373490934,1.4752319999999999,0,7.777777777777778,8.722222222222221,3,0.2244436171872671,FALSE,0,0,0.002244436171872671,-0.022495584346040633,3.2356147964187834e-4,0.02281914582568251,3.2356147964187834e-4,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.56790932959609,5.73706844858993e-6,0.00128203158151856
654,653,7.80524489809653e-4,31811.9254366951,0.273388073664975,0.556492584002397,1.30380936861244e-5,4.94682137724703e-5,3.14206938672021e-6,0.00109292029719961,2.08816160746951,12.5206335342312,0.44224649177246,28.6723705097745,0.0124185966897287,4.69239995022024e-4,1.88896651243192e-6,6.70063526785198e-7,1.67515881696299e-7,1.30505563153397e-6,5.78671596477481e-4,2.32949296530057e-6,3.66751467921086e-5,9.66628797286363e-6,8.10278141762564e-4,2021-04-28,1,OCSP.2,1,1,100,75.18614762,75.20509477632558,0.0227365875906969,0.0227375875906969,12.722222222222221,0.00985286965138243,0.00985286965138243,1.966976,1.3462,12.777777777777777,12.722222222222221,3,0.6307207237695182,FALSE,0,0.013462,0.006307207237695182,-0.01677335313579575,2.27375875906969e-4,0.01700072901170272,2.27375875906969e-4,0,-1.734723475976807e-18,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.566869966278816,4.031601552447387e-6,8.589490694928369e-4
655,654,0.0139343872539811,31811.9307650006,0.276046540894318,0.553317161632235,1.39636318168298e-5,5.40417309383651e-5,5.60940908133652e-5,0.0012697786918492,2.08972781168606,12.5215554870146,0.44326824459677,28.6691278988252,0.0122268915638014,0.0384007520102589,1.54585575332676e-4,5.48353584437962e-5,1.37088396109491e-5,1.06800609917694e-4,5.14931716662986e-5,2.07290252170387e-7,1.99705956037508e-7,5.16012421015198e-8,4.6923435502281e-6,2021-04-29,1,OCSP.2,1,1,100,75.18614762,75.21330550103507,0.03258945724207933,0.03259045724207933,12.277777777777779,0.42992419575120944,0.42992419575120944,1.162304,0.8636,12.222222222222221,12.277777777777779,3,0.553893284436151,FALSE,0,0.008636,0.00553893284436151,0.0067558024957439415,3.2590457242079334e-4,3.2590457242079334e-4,0.007081707068164735,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.5666639143584,3.299303833051153e-4,5.150941000537515e-6
656,655,1.11756092052093,31812.0083975698,0.278372763602912,0.550553984698585,4.3279962300608e-4,0.00172637383833959,0.00449883892434946,0.00536018704799739,2.0910982780114,12.5223605234835,0.444149487957085,28.6660081128066,0.0122450829184961,2.32698092178761,0.0093674645873237,0.00332287328394012,8.30718320985029e-4,0.00647182590714266,0.00412983759379084,1.66250213093775e-5,6.37964646722658e-6,1.59936887631669e-6,1.98080494531356e-5,2021-04-30,1,OCSP.2,1,1,100,75.18614762,75.57157566416107,0.4625136529932888,0.46251465299328876,8.722222222222221,0.13821733160939403,0.1382173316093941,4.291583999999999,2.1336,7.777777777777778,8.722222222222221,3,0.6383871089468804,FALSE,0,0.021336,0.006383871089468804,0.4149720668406782,0.004625146529932888,0.004625146529932888,0.4195972133706111,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.57680643291227,0.019992882099391512,4.4412086106056375e-5
657,656,2.44449598523911,31812.2331574906,0.280398763577791,0.548159080277931,9.79023454005935e-4,0.00389767287910903,0.00984053172124475,0.0104652264050477,2.09229187169891,12.5230647879951,0.444924651073854,28.6637132290124,0.0123913283399348,0.790583610819995,0.00318256325539,0.00112893454970683,2.82233637426707e-4,0.00219878016461634,0.00903339695611895,3.63647270578721e-5,1.44034707091764e-5,3.61788587209367e-6,3.8673225451506e-5,2021-05-01,1,OCSP.2,1,1,100,75.18614762,75.68675677383557,0.6007309846026828,0.6007319846026828,8.277777777777779,0.07197746408439232,0.07197746408439232,3.263392,0.3048,7.222222222222222,8.277777777777779,3,0.41767140134706143,FALSE,0,0.0030480000000000004,0.004176714013470614,0.1393460456228647,0.006007319846026828,0.006007319846026828,0.14535336546889152,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.59012616643533,0.006792511607139878,9.305930909064817e-5
658,657,2.77753028476427,31812.494202263,0.28268948057536,0.54546427852448,0.00118141575022862,0.00468496181201821,0.0111811903308433,0.0128789606404973,2.09364142025867,12.5238596385028,0.445789842099489,28.6615984916387,0.0122417425719897,0.41710318346813,0.00167908523177583,5.95613402763911e-4,1.48903350690978e-4,0.001160052135987,0.0102640927910804,4.13190004443989e-5,1.7312820322787e-5,4.36580690108283e-6,4.75929453557536e-5,2021-05-02,1,OCSP.2,1,1,100,75.18614762,75.7467379939059,0.6727084486870751,0.6727094486870752,12.277777777777779,0.09100025191391403,0.09100025191391403,3.442208,0.22013333333333335,12.222222222222221,12.277777777777779,3,0.24265912798736555,FALSE,0,0.0022013333333333334,0.0024265912798736556,0.07220272203093264,0.0067270944868707515,0.0067270944868707515,0.0789298165178034,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.59521142270508,0.003583654121217719,1.1059057302402233e-4
659,658,2.99027488276757,31812.7459859711,0.285081689996866,0.542664771663116,0.00133706637025734,0.00528123393042402,0.0120376122590512,0.0149025161736933,2.0950507618678,12.5246870929689,0.446676731159076,28.6592053410297,0.0122519645774264,0.533232559248593,0.00214657415916068,7.61443382996454e-4,1.90360845749113e-4,0.00148303248177297,0.0110502697435641,4.44838243124448e-5,1.95162858927657e-5,4.94099861572495e-6,5.50707978474286e-5,2021-05-03,1,OCSP.2,1,1,100,75.18614762,75.82257153716749,0.7637087006009892,0.7637097006009892,9.61111111111111,0.10849460738240857,0.10849460738240857,2.324608,0.1354666666666667,8.88888888888889,9.61111111111111,3,0.30155811447748204,FALSE,0,0.001354666666666667,0.0030155811447748204,0.09266116639202218,0.007637097006009892,0.007637097006009892,0.10029826339803208,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.59917678199631,0.004581410869679217,1.2401190666836405e-4
660,659,3.32190133869816,31812.9880829853,0.287363434600881,0.540008463595127,0.00153140600888889,0.00603014537407142,0.013372603471511601,0.0172303961915325,2.09639502444905,12.5254745055021,0.4475095074477,28.656893461111,0.01226480585491,0.637461289587712,0.00256615600071844,9.10279525235557e-4,2.27569881308889e-4,0.00177291461658613,0.0122757630295671,4.94171543845355e-5,2.22838152306326e-5,5.65916183246502e-6,6.36732518479013e-5,2021-05-04,1,OCSP.2,1,1,100,75.18614762,75.91298370998616,0.8722033079833977,0.8722043079833978,10.944444444444445,0.13158375049650872,0.1315837504965086,1.609344,0.050800000000000005,10.555555555555555,10.944444444444445,3,0.2937363530938479,FALSE,0,5.080000000000001e-4,0.0029373635309384786,0.11092397091334705,0.008722043079833978,0.008722043079833978,0.11964601399318103,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.60407375360677,0.005476920023849016,1.410333832955344e-4
661,660,3.72066352540442,31813.2241659488,0.289898026981632,0.537073671992635,0.00174730230957116,0.00685764345790794,0.014977855421693,0.0197235010243321,2.09788824927807,12.5263455427742,0.448413575194388,28.6544314029194,0.0121326772195681,0.658258812534648,0.00264987824265233,9.39977892216328e-4,2.34994473054082e-4,0.00183075692485438,0.0137493498733824,5.53492067045784e-5,2.53417538473703e-5,6.45698559539905e-6,7.28862780683941e-5,2021-05-05,1,OCSP.2,1,1,100,75.18614762,76.02263683539992,1.0037870584799065,1.0037880584799064,12.722222222222221,0.103566816414417,0.103566816414417,2.592832,2.032,12.777777777777777,12.722222222222221,3,0.2898077550548026,FALSE,0,0.02032,0.002898077550548026,0.11416182804705663,0.010037880584799064,0.010037880584799064,0.1241997086318557,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.6094894485734,0.00565560753277712,1.6003422421574185e-4
662,661,4.11105157868473,31813.4577337738,0.292394219764208,0.534199597055859,0.00195899294419584,0.00766456100841358,0.0165493965676377,0.0221723603073009,2.09935885144244,12.5272009318931,0.449287512767406,28.651832949136,0.0121859420148215,0.618653159772752,0.0024904422342901,8.83421964222551e-4,2.20855491055638e-4,0.00172060523120971,0.0151919909222948,6.11566840291132e-5,2.83236391065779e-5,7.23926772881411e-6,8.19357991665315e-5,2021-05-06,1,OCSP.2,1,1,100,75.18614762,76.10894251574527,1.1073538748943235,1.1073548748943234,10.5,0.04000662418296197,0.04000662418296197,5.006848,0,10,10.5,3,0.31202974229141894,FALSE,0,0,0.0031202974229141895,0.10668711383733119,0.011073548748943235,0.011073548748943235,0.11776066258627442,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.61480531490138,0.005315324920777999,1.786553900310367e-4
663,662,4.30521929822603,31813.6941587454,0.294671853330135,0.531591178383833,0.00210110249008487,0.00819332912741223,0.0173310356519012,0.0240808739036677,2.1007006920547,12.5279802553414,0.450074480405991,28.6494414461824,0.0122873649721128,0.273836476486221,0.0011023526115683,3.91031960496413e-4,9.77579901241032e-5,7.61597134832867e-4,0.0159095188287722,6.4045155177033e-5,3.02776502178655e-5,7.76441972211708e-6,8.89885253793115e-5,2021-05-07,1,OCSP.2,1,1,100,75.18614762,76.14228136923107,1.1473604990772854,1.1473614990772854,10.055555555555557,0.0342112399735357,0.0342112399735357,2.369312,0,9.444444444444445,10.055555555555557,3,0.47879895207658973,FALSE,0,0,0.004787989520765898,0.044794613703727865,0.011473614990772853,0.011473614990772853,0.05626822869450072,0,0,OCSP,2,12.25,0.055999999999999994,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,100,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,TRUE,TRUE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_pow_Hx_OCSP.2_2023-08-23.csv,44.618453611843634,0.002352739697021683,1.9107575049632708e-4
