site,plot,site.plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simdays,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,sim_IM_deposition,sim_litterP_t365,sim_shootM_t49,sim_shootM_t92,sim_shootM_t458,sim_init_TP,sim_final_TP,sim_in_TP,sim_out_TP,sim_in_DIP,sim_out_DIP,sim_delta_TP,sim_delta_TP_yr,sim_TP_retention,sim_TP_retention_efficiency,sim_TP_retention_eff2,sim_TP_check,parsheet,sim_in_IM,sim_out_IM,IO_Hx,scenario,obs_IM_a_minus_ash,Csource,Cx,Hx,CxHx,assumptions,HRTx,sim_delta_DIP,sim_DIP_efficiency,DIP_change
Prindle Rd,2,LC.2,5.842424242424242,0.0235,1,0.7930998839402292,0.001,0.8986323989222718,0.00214853237446707,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.00134371428571426,0.00102681434599156,0.00118526431585291,0.00121508035083845,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,NA,2,10,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,0,0.231937073179703,405.6693797668369,427.86908045088853,259.3322040299003,26.80984713440076,26.87139194688432,0.20874275420233307,0.15074076247456397,0.08841688496126211,0.098610423969806,0.06154481248355736,0.03077240624177868,0.0580019917277691,27.786349734347247,27.786349734347247,0.00354282075578826,pars_lcbp_siphon_10d,0.20874275420233307,0.15074076247456397,NA,siphon_10d,0,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,-0.005096769504271945,-11.528950621829713,-11.528950621829713
Prindle Rd,4,LC.4,4.640125430322315,0.0360725,0.6443614130434783,0.660499163886545,0.001,0.8986323989222718,0.00214853237446707,281.625443010268,70.672109987179,1223.05257538127,304.22925216218,952.897297297297,0.00133514062499997,0.00115744210526315,0.00124629136513156,0.00128273942390656,15.484999999999973,49.51500000000003,35,0.35,0.8451500000000003,3.858700771779686,0.06977935939270782,0.1529428865306386,446.037037037037,37.2992644212135,408.737772615823,0.330085903626654,0.0865960319645949,0.243489871662059,NA,2,10,83.99556818,0.71,-3.5,0.46868961000001264,0.191737777777777,0.265600111111111,TRUE,TRUE,FALSE,348.622324130009,0.17673643371412,19.2333307449722,0.00975046647627449,473.333333333333,434.666666666666,530.780739736627,Prindle Rd,PrRd,Pr,Pr4,2.9458147654950153,0.185708976221719,299.12071714420125,318.5942043639552,211.31481281075764,25.494684440958466,25.546538647400823,0.13455687560998744,0.08682115734369875,0.06031205898151692,0.06246627785753801,0.05185420644235705,0.02592710322117852,0.04773571826628869,35.47623861648697,35.47623861648697,0.00411848817606835,pars_lcbp_siphon_10d,0.13455687560998744,0.08682115734369875,NA,siphon_10d,0,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,-0.0010771094380105477,-3.5717879846902125,-3.5717879846902125
Union St,0,OCD.0,10.757390983000812,0.1297833333333333,0.2333333333333333,0.4610840230162072,0.001,0.6226967541715571,8.99848780395894e-4,354.012206655189,108.429491307935,1583.69628350651,619.961531509493,1147.873853211,0.00138203979238753,0.00149412565445026,0.00143808272341889,0.00137088800208802,6.44999999999996,78.55000000000004,15,0.15,0.9355000000000004,5.103527418687243,0.1262952221135821,0.30288495639071317,547.925925925925,213.696933915849,334.228992010076,1.25286250901663,0.700275821144989,0.552586687871641,NA,2,10,77.29694,5.8,-3.6,0,0.0260909166666666,0.0547148333333333,TRUE,TRUE,FALSE,342.862534024978,0.3584557979593,75.6734157132886,0.0791150152668373,636,450.666666666666,904.824856131649,Union St,UnSt,Un,Un0,68.490890605397,0.266403964676483,384.28582551158513,416.85498983631607,311.65304605976587,33.17004239124319,34.324173833070304,3.974700011457585,2.8300396802137406,1.7930955030184408,1.688205335697908,1.1541314418271114,0.5770657209135557,1.1446603312438444,28.79865972134283,28.798659721342833,0.00947111058326699,pars_lcbp_siphon_10d,3.974700011457585,2.8300396802137406,NA,siphon_10d,180.2740347148414,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,0.052445083660266345,5.849669866661529,5.849669866661529
Union St,2,OCD.2,4.604111288321896,0.13498333333333332,0.4920634920634894,0.39728587189900305,0.001,0.6226967541715571,8.99848780395894e-4,333.211767392559,122.46737593604402,2007.93175659104,1432.08641928521,1140.97736625514,0.00206538818181819,0.002592825,0.00232910659090909,0.00203713779778124,6.255000000000025,83.74499999999998,10,0.1,0.9374499999999998,5.196789836398223,0.1206313090294518,0.18659215532097315,506,48.6019210245445,457.398078975455,0.715412500125398,0.316935833078845,0.398476667046552,NA,2,10,77.66302273,5.8,-3.6,0.366082729999988,0.0188066666666666,0.06557,TRUE,TRUE,FALSE,338.027632043759,0.244286583772041,55.6375603928744,0.040208279647465,369.333333333333,453.333333333333,624.040742995328,Union St,UnSt,Un,Un2,7.391731000599975,0.352894110210281,354.88468379298126,379.0240243679308,260.1339808319127,48.338224001445894,48.656089190250384,1.235105625429059,0.9585111981102552,0.5818417781720114,0.5821657623731178,0.31786518880448966,0.15893259440224483,0.276594427318804,22.394394586513094,22.3943945865131,0.04127076148568565,pars_lcbp_siphon_10d,1.235105625429059,0.9585111981102552,NA,siphon_10d,2.862113126998999,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,-1.619921005531766e-4,-0.055682526291636086,-0.055682526291636086
Union St,4,OCD.4,16.122527472527473,0.13761666666666666,0.29381778037534895,0.433053131603816,0.001,0.6226967541715571,8.99848780395894e-4,369.424229098895,153.56065391367002,1387.69426822105,444.640026548937,540.718918918918,0.00125820192307689,0.0015570414507772,0.00140762168692705,0.00121419321114496,15.989999999999965,75.26000000000003,8.75,0.0875,0.8401000000000003,5.001352208575525,0.09233054552352692,0.17654644294310856,243.074074074074,23.4000582114528,219.674015862621,0.22410797496054,0.0781563808908914,0.145951594069649,NA,2,10,77.82101905,5.8,-3.6,0.5240790499999974,0.0229639166666666,0.0601306666666666,TRUE,TRUE,FALSE,405.506307033635,0.183777432466555,96.5661467624383,0.0437642478239369,809.333333333333,488,802.634036628523,Union St,UnSt,Un,Un4,15.471484039502684,0.219137674637954,385.9007991070067,406.0103588503488,244.79607843429991,32.70074521355189,32.95527072255921,0.8864517405395979,0.6551450059246536,0.3812904155089218,0.3552855667120372,0.2545255090073226,0.1272627545036613,0.23130673461494425,26.093550730031165,26.09355073003117,0.0232187743923784,pars_lcbp_siphon_10d,0.8864517405395979,0.6551450059246536,NA,siphon_10d,1.4326566251907025,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,0.013002424398442292,6.820220949476266,6.820220949476266
Swamp Rd,0,OCSP.0,7.072297790285597,0.10941041666666666,0.4261835485239737,0.4401020059390625,0.001,1.4192113250241647,9.383718100787632e-4,302.235611594258,73.013113489712,1064.50872301703,164.5863743358,1421.03517587939,0.00148665566037735,0.00274294581280788,0.00211480073659261,0.00161830529161459,1.454999999999984,87.29500000000002,11.25,0.1125,0.9854500000000002,3.446903926702793,0.1664318278220391,0.29914264435717103,544.851851851851,78.8807570753897,465.971094776462,1.68142067364895,1.03113392874902,0.65028674489993,NA,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.519963640025,0.474308185422424,61.1163465620979,0.087439631445522,446.666666666666,438.666666666666,712.353430434621,Swamp Rd,SwRd,Sw,Sw0,27.909964225200383,0.337492014720611,381.1322252742323,449.74572969885617,450.0839343700897,33.00877684687167,33.54672773036281,2.8279372994963663,2.34091608610856,1.2907872975426078,1.4090234398883847,0.537950883491142,0.268975441745571,0.48702121338780646,17.22178258600504,17.22178258600504,0.05092967010333549,pars_lcbp_siphon_10d,2.8279372994963663,2.34091608610856,NA,siphon_10d,32.283647597743496,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,-0.059118071172888476,-9.160002005820333,-9.160002005820333
Swamp Rd,2,OCSP.2,7.440721649484536,0.28875,0,0.6701377011670392,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.00337158064516128,0.00229827891747115,0.00149551557425682,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,NA,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,43.0267902227024,0.272186045800836,305.67111839937513,377.10067193863574,460.11854231587375,44.58459211189371,46.83168406964168,8.625892773004827,6.562440900543924,4.249231789798473,3.965727447275959,2.247091957747969,1.1235459788739846,2.0634518724609023,23.92160355758862,23.92160355758862,0.18364008528706677,pars_lcbp_siphon_10d,8.625892773004827,6.562440900543924,NA,siphon_10d,105.98114630467418,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,0.14175217126125683,6.671896393205685,6.671896393205685
Swamp Rd,4,OCSP.4,7.208077814765488,0.1510359375,0.20122928020148328,0.5443637339770545,0.001,1.4192113250241647,9.383718100787632e-4,184.218894527124,47.05377199815902,505.249639402518,277.930990779603,1086.76239669421,0.00112845598006643,0.0042594693877551,0.00269396268391076,0.00154117320708231,24.085000000000036,68.41499999999996,7.5,0.075,0.7591499999999997,3.775993712508853,0.13297581035271647,0.1731102200487646,278.814814814814,46.0126609910497,232.802153823765,0.398397047695111,0.126733907565323,0.271663140129787,NA,2,10,76.17881,1.1,-2.3,1.0803397899999965,0.022903,0.145474909090909,TRUE,TRUE,FALSE,222.745139812483,0.142453723309971,36.4643245796891,0.0233202789911956,29.3333333333333,305.333333333333,337.773333333333,Swamp Rd,SwRd,Sw,Sw4,3.634634638503485,0.229678176011637,239.0533551084302,288.4548764028659,340.64286276347224,36.26090854605418,36.4208914063483,0.19484966900466985,0.03114232953323164,0.09286402921567814,0.01899422858883939,0.15998286029411446,0.07999143014705723,0.1637073394714382,84.01725304830501,84.01725304830502,-0.00372447917732374,pars_lcbp_siphon_10d,0.19484966900466985,0.03114232953323164,NA,siphon_10d,22.7324456086732,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,10d,0.03693490031341938,79.5461937746369,79.5461937746369
Prindle Rd,0,LC.0,2.58681386230728,0.052775,0.910778985507246,0.3830923420610547,0.001,0.8986323989222718,0.00214853237446707,150.725081711143,93.711297504515,1646.41692839786,353.267919377839,1553.74431818181,9.96070552659719e-4,0.00165864220183486,0.00132735637724728,0.00104724113038905,37.29999999999997,51.45000000000003,11.25,0.1125,0.6270000000000003,3.36386359246735,0.12147797442676464,0.2397294933393994,313.148148148148,52.9400045537338,260.208143594414,0.960115662843554,0.291514199827499,0.668601463016054,NA,2,1000000,83.52687857,0.71,-3.5,0,0.0824854411111111,0.291137111111111,TRUE,TRUE,FALSE,183.590197584565,0.289284459920396,88.8783299316962,0.140046255253222,60,309.333333333333,227.925442576573,Prindle Rd,PrRd,Pr,Pr0,0.520067294499313,0.158713258167503,224.58119482359407,290.08434271179675,405.4103520651206,24.99349025177655,24.98512339504957,0.21109046358280592,0.2257525342613503,0.09971783121974358,0.1999298409635943,-0.00836685672698323,-0.00418342836349161,-0.01466207067854441,-6.945870708551844,-6.945870708551838,0.00629521395156118,pars_lcbp_siphon_1e6d,0.21109046358280592,0.2257525342613503,NA,siphon_1e6d,26.9191901942924,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,1Md,-0.05010600487192537,-100.49557688736547,-100.49557688736547
Prindle Rd,2,LC.2,5.842424242424242,0.0235,1,0.7930998839402292,0.001,0.8986323989222718,0.00214853237446707,386.903207558561,137.479152199727,974.783356019687,374.477282856358,755.17277486911,0.00134371428571426,0.00102681434599156,0.00118526431585291,0.00121508035083845,16.730000000000018,52.01999999999998,31.25,0.3125,0.8326999999999998,4.149553649786964,0.0858006252762118,0.1883375969585359,461.666666666666,35.8625091174314,425.804157549235,0.367765561069667,0.0957963234070333,0.271969237662633,NA,2,1000000,83.91616429,0.71,-3.5,0.3892857200000037,0.131826666666666,0.217345,TRUE,TRUE,FALSE,456.215242907155,0.172538323791271,134.205424064571,0.0507558203541006,616,565.333333333333,468.730596939066,Prindle Rd,PrRd,Pr,Pr2,0,0.231869778154789,405.6510713044348,427.8102295750476,259.04475846805906,26.80984713440076,26.845270050122817,0.10112923057054268,0.06992068670068267,0.0428351708769237,0.05158536032751035,0.03542291572205158,0.01771145786102579,0.03120854386986001,30.86006260879291,30.860062608792905,0.00421437185219157,pars_lcbp_siphon_1e6d,0.10112923057054268,0.06992068670068267,NA,siphon_1e6d,0,siphon,Cx1,Hx1,Hx1 Cx1,settlingVelocity,1Md,-0.004375094725293325,-20.42758152110134,-20.42758152110134
