date,days_elapsed,t,Uw,ip,Tair,Twater,amc,ET,Hw,Tw,site_plot,Zs,A,dHw,Vw,dt,Qip,QET,dVw,Qg,tau,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
5/15/2020,0,0,3.79984,1.4732,20,20,2,0.451758493,0.2,20,OCD.0,77.29694,0.0181,0,0.00362,1,0,2.00E-06,0,0,100,0,0,5.00E-06,7.000E-06,0,0
5/3/2070,18250,18250,3.79984,1.4732,20,20,2,0.451758493,0.2,20,OCD.0,77.29694,0.0181,0,0.00362,1,0,2.00E-06,0,0,100,0,0,5.00E-06,7.000E-06,0,0
