date,t,dt,site_plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2019-07-15,0,1,LC.1,1,1,100,83.63401951,84.08989191087393,0.911744801747858,0.911745801747858,19.38888888888889,-0.021252131092467152,-0.021252131092467152,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,FALSE,0,0,0.006995465321136183,-0.009934342237489315,0.00911745801747858,0.019051800254967895,0.00911745801747858,0,0
2019-07-16,1,1,LC.1,1,1,100,83.63401951,84.0792658453277,0.8904926706553908,0.8904936706553909,20.27777777777778,0.011357006502976219,0.011357006502976219,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,FALSE,0,0.004318,0.006137036886829951,-0.0194330942056372,0.008904936706553908,0.028338030912191108,0.008904936706553908,0,0
2019-07-17,2,1,LC.1,1,1,100,83.63401951,84.08494434857919,0.9018496771583671,0.9018506771583671,22.055555555555557,-0.004143810683700622,-0.004143810683700622,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,FALSE,0,0.008636,0.006301257724731723,0.009022264227707941,0.009018506771583671,0.009018506771583671,0.018040770999291612,0,0
2019-07-18,3,1,LC.1,1,1,100,83.63401951,84.08287244323733,0.8977058664746664,0.8977068664746665,21.166666666666668,-0.01058890850973171,-0.01058890850973171,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,FALSE,0,0,0.004450376262371377,3.065655786707554e-4,0.008977068664746665,0.008977068664746665,0.00928363424341742,0,0
2019-07-19,4,1,LC.1,1,1,100,83.63401951,84.07757798898247,0.8871169579649347,0.8871179579649348,24.27777777777778,-0.004528495139254574,-0.004528495139254574,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,FALSE,0,0,0.007917034244952605,-0.0026718742647791043,0.008871179579649347,0.011543053844428452,0.008871179579649347,0,0
2019-07-20,5,1,LC.1,1,1,100,83.63401951,84.07531374141284,0.8825884628256802,0.8825894628256802,25.166666666666668,0.013715888725016612,0.013715888725016612,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,FALSE,0,0,0.006911540761035173,0.0023830456217805995,0.008825894628256802,0.008825894628256802,0.011208940250037401,0,0
2019-07-21,6,1,LC.1,1,1,100,83.63401951,84.08217168577535,0.8963043515506968,0.8963053515506968,24.27777777777778,0.013762057502731295,0.013762057502731295,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,FALSE,0,0.001778,0.00778552099787846,0.01972340972289507,0.008963053515506967,0.008963053515506967,0.028686463238402037,3.469446951953614e-18,3.469446951953614e-18
2019-07-22,7,1,LC.1,1,1,100,83.63401951,84.08905271452672,0.9100664090534281,0.9100674090534281,18.944444444444443,1.933159219618119e-4,1.933159219618119e-4,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,FALSE,0,2.5400000000000005e-4,0.005028051876319839,0.018536109379051133,0.009100674090534281,0.009100674090534281,0.027636783469585414,0,0
2019-07-23,8,1,LC.1,1,1,100,83.63401951,84.0891493724877,0.9102597249753899,0.9102607249753899,20.722222222222225,-0.008195494610532705,-0.008195494610532705,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,FALSE,0,1.2700000000000002e-4,0.0038437804843149607,0.003910096406276773,0.009102607249753899,0.009102607249753899,0.013012703656030671,0,-4.336808689942018e-19
2019-07-24,9,1,LC.1,1,1,100,83.63401951,84.08505162518243,0.9020642303648572,0.9020652303648572,19.38888888888889,-0.015538056662194322,-0.015538056662194322,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,FALSE,0,0,0.005189480908069838,-0.0030060137024628675,0.009020652303648572,0.01202666600611144,0.009020652303648572,0,0
2019-07-25,10,1,LC.1,1,1,100,83.63401951,84.07728259685133,0.8865261737026628,0.8865271737026629,19.833333333333336,-0.02260377577596273,-0.02260377577596273,2.190496,0,21.666666666666668,19.833333333333336,1,0.5037918163828237,FALSE,0,0,0.005037918163828236,-0.010500138498366085,0.008865271737026628,0.019365410235392712,0.008865271737026628,-1.734723475976807e-18,-1.734723475976807e-18
2019-07-26,11,1,LC.1,1,1,100,83.63401951,84.06598070896335,0.8639223979267001,0.8639233979267001,21.61111111111111,-0.02309409529664208,-0.02309409529664208,1.922272,0,23.88888888888889,21.61111111111111,1,0.6757539678046656,FALSE,0,0,0.006757539678046656,-0.015846236097916074,0.008639233979267002,0.024485470077183075,0.008639233979267002,-3.469446951953614e-18,-3.469446951953614e-18
2019-07-27,12,1,LC.1,1,1,100,83.63401951,84.05443366131503,0.840828302630058,0.8408293026300581,22.5,-0.012580096510561134,-0.012580096510561134,2.771648,0.40640000000000004,25,22.5,1,0.7108771634650781,FALSE,0,0.004064000000000001,0.007108771634650781,-0.020049323661991303,0.00840829302630058,0.028457616688291883,0.00840829302630058,0,0
2019-07-28,13,1,LC.1,1,1,100,83.63401951,84.04814361305975,0.8282482061194969,0.8282492061194969,23.833333333333332,-0.005428974823047383,-0.005428974823047383,4.068064,0.8128000000000001,26.666666666666664,23.833333333333332,1,1.0262049887870321,FALSE,0,0.008128000000000002,0.010262049887870321,-0.010446046622690816,0.00828249206119497,0.018728538683885784,0.00828249206119497,-1.734723475976807e-18,0
2019-07-29,14,1,LC.1,1,1,100,83.63401951,84.04542912564823,0.8228192312964495,0.8228202312964495,23.833333333333332,-0.019440496579363753,-0.019440496579363753,2.2352,0,26.666666666666664,23.833333333333332,1,0.6221339558564261,FALSE,0,0,0.00622133955856426,7.923647355168768e-4,0.008228202312964495,0.008228202312964495,0.009020567048481372,0,0
2019-07-30,15,1,LC.1,1,1,100,83.63401951,84.03570887735854,0.8033787347170858,0.8033797347170858,24.722222222222225,-0.016300350935409824,-0.016300350935409824,4.649216,0.0762,27.77777777777778,24.722222222222225,1,1.0297328702308024,FALSE,0,7.620000000000001e-4,0.010297328702308024,-0.009905167877055728,0.008033797347170859,0.017938965224226586,0.008033797347170859,0,0
2019-07-31,16,1,LC.1,1,1,100,83.63401951,84.02755870189084,0.7870783837816759,0.787079383781676,22.055555555555557,-0.012129719416520857,-0.012129719416520857,2.861056,0.1524,24.444444444444443,22.055555555555557,1,0.5657162199598449,FALSE,0,0.0015240000000000002,0.005657162199598449,-0.012167188735811376,0.00787079383781676,0.020037982573628134,0.00787079383781676,-1.734723475976807e-18,0
2019-08-01,17,1,LC.1,1,1,100,83.63401951,84.02149384218258,0.7749486643651551,0.7749496643651551,19.833333333333336,-0.025383887559996765,-0.025383887559996765,1.78816,0,21.666666666666668,19.833333333333336,1,0.545968625778369,FALSE,0,0,0.00545968625778369,-0.006670033158737166,0.007749496643651551,0.014419529802388718,0.007749496643651551,8.673617379884035e-19,0
2019-08-02,18,1,LC.1,1,1,100,83.63401951,84.00880189840258,0.7495647768051583,0.7495657768051583,19.38888888888889,-0.022404304258628827,-0.022404304258628827,1.56464,0,21.11111111111111,19.38888888888889,1,0.5608730639378955,FALSE,0,0,0.005608730639378955,-0.01977515692061781,0.0074956577680515835,0.027270814688669393,0.0074956577680515835,0,0
2019-08-03,19,1,LC.1,1,1,100,83.63401951,83.99759974627327,0.7271604725465295,0.7271614725465295,20.722222222222225,-0.01721504357490744,-0.01721504357490744,1.966976,0,22.77777777777778,20.722222222222225,1,0.6538454805776023,FALSE,0,0,0.006538454805776023,-0.015865849452852805,0.0072716147254652955,0.0231374641783181,0.0072716147254652955,0,0
2019-08-04,20,1,LC.1,1,1,100,83.63401951,83.98899222448581,0.709945428971622,0.7099464289716221,18.5,-0.0258435385849225,-0.0258435385849225,3.039872,0,20,18.5,1,0.794382472214792,FALSE,0,0,0.00794382472214792,-0.00927121885275952,0.00709946428971622,0.01637068314247574,0.00709946428971622,0,0
2019-08-05,21,1,LC.1,1,1,100,83.63401951,83.97607045519335,0.6841018903866996,0.6841028903866996,18.055555555555557,-0.02279778929442955,-0.02279778929442955,1.922272,0,19.444444444444443,18.055555555555557,1,0.5371506743566584,FALSE,0,0,0.005371506743566584,-0.020472031841355914,0.006841028903866996,0.02731306074522291,0.006841028903866996,3.469446951953614e-18,3.469446951953614e-18
2019-08-06,22,1,LC.1,1,1,100,83.63401951,83.96467156054614,0.66130410109227,0.66130510109227,21.61111111111111,0.021449309989748144,0.021449309989748144,4.24688,0.0762,23.88888888888889,21.61111111111111,1,0.9287215163215207,FALSE,0,7.620000000000001e-4,0.009287215163215207,-0.014272574131214341,0.0066130510109227,0.020885625142137043,0.0066130510109227,1.734723475976807e-18,0
2019-08-07,23,1,LC.1,1,1,100,83.63401951,83.97539621554101,0.6827534110820181,0.6827544110820182,22.944444444444443,0.05666497764434553,0.05666497764434553,3.263392,2.54,25.555555555555554,22.944444444444443,2,0.6966975509292639,FALSE,0,0.0254,0.006966975509292639,0.003016285499040784,0.006827544110820182,0.006827544110820182,0.009843829609860966,0,0
2019-08-08,24,1,LC.1,1,1,100,83.63401951,84.00372870436318,0.7394183887263637,0.7394193887263637,22.5,0.05196659919391777,0.05196659919391777,3.3975039999999996,0.6858000000000001,25,22.5,2,0.5046687228075774,FALSE,0,0.006858,0.005046687228075774,0.0548536648724213,0.007394193887263637,0.007394193887263637,0.062247858759684936,0,0
2019-08-09,25,1,LC.1,1,1,100,83.63401951,84.02971200396014,0.7913849879202814,0.7913859879202815,20.722222222222225,0.005255882316788529,0.005255882316788529,3.531616,0.10160000000000001,22.77777777777778,20.722222222222225,2,0.8447650444881505,FALSE,0,0.0010160000000000002,0.008447650444881504,0.05939824963879928,0.007913859879202815,0.007913859879202815,0.0673121095180021,0,0
2019-08-10,26,1,LC.1,1,1,100,83.63401951,84.03233994511854,0.79664087023707,0.79664187023707,17.166666666666664,-0.013071224496997047,-0.013071224496997047,3.621024,0.1524,18.333333333333332,17.166666666666664,2,0.5509226403571776,FALSE,0,0.0015240000000000002,0.005509226403571777,0.009241108720360306,0.0079664187023707,0.0079664187023707,0.017207527422731003,1.734723475976807e-18,8.673617379884035e-19
2019-08-11,27,1,LC.1,1,1,100,83.63401951,84.02580433287004,0.7835696457400729,0.783570645740073,18.5,-0.027674840790552935,-0.027674840790552935,2.503424,0,20,18.5,2,0.5925792954665626,FALSE,0,0,0.005925792954665626,-0.007145431542331421,0.00783570645740073,0.01498113799973215,0.00783570645740073,-8.673617379884035e-19,0
