date,t,dt,site_plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2019-07-25,10,1,OCD.4,1,1,100,77.82101905,77.77346210105951,0,1e-6,19.833333333333336,0,0,2.190496,0,21.666666666666668,19.833333333333336,1,0.5037918163828237,FALSE,0,0,0,0,0,0,0,0,0
2019-07-26,11,1,OCD.4,1,1,100,77.82101905,77.76528931877085,0,1e-6,21.61111111111111,0,0,1.922272,0,23.88888888888889,21.61111111111111,1,0.6757539678046656,FALSE,0,0,0,0,0,0,0,0,0
2019-07-27,12,1,OCD.4,1,1,100,77.82101905,77.75574705217204,0,1e-6,22.5,0,0,2.771648,0.40640000000000004,25,22.5,1,0.7108771634650781,FALSE,0,0.004064000000000001,0,-0.004064000000000001,0,0,0,-0.004064000000000001,-0.004064000000000001
2019-07-28,13,1,OCD.4,1,1,100,77.82101905,77.74576125134632,0,1e-6,23.833333333333332,0,0,4.068064,0.8128000000000001,26.666666666666664,23.833333333333332,1,1.0262049887870321,FALSE,0,0.008128000000000002,0,-0.008128000000000002,0,0,0,-0.008128000000000002,-0.008128000000000002
2019-07-29,14,1,OCD.4,1,1,100,77.82101905,77.73705630139607,0,1e-6,23.833333333333332,0,0,2.2352,0,26.666666666666664,23.833333333333332,1,0.6221339558564261,FALSE,0,0,0,0,0,0,0,0,0
2019-07-30,15,1,OCD.4,1,1,100,77.82101905,77.72705824382,0,1e-6,24.722222222222225,0,0,4.649216,0.0762,27.77777777777778,24.722222222222225,1,1.0297328702308024,FALSE,0,7.620000000000001e-4,0,-7.620000000000001e-4,0,0,0,-7.620000000000001e-4,-7.620000000000001e-4
2019-07-31,16,1,OCD.4,1,1,100,77.82101905,77.73821112001164,0,1e-6,22.055555555555557,0,0,2.861056,0.1524,24.444444444444443,22.055555555555557,1,0.5657162199598449,FALSE,0,0.0015240000000000002,0,-0.0015240000000000002,0,0,0,-0.0015240000000000002,-0.0015240000000000002
2019-08-01,17,1,OCD.4,1,1,100,77.82101905,77.73558492896768,0,1e-6,19.833333333333336,0,0,1.78816,0,21.666666666666668,19.833333333333336,1,0.545968625778369,FALSE,0,0,0,0,0,0,0,0,0
2019-08-02,18,1,OCD.4,1,1,100,77.82101905,77.72440240613703,0,1e-6,19.38888888888889,0,0,1.56464,0,21.11111111111111,19.38888888888889,1,0.5608730639378955,FALSE,0,0,0,0,0,0,0,0,0
2019-08-03,19,1,OCD.4,1,1,100,77.82101905,77.71252361532275,0,1e-6,20.722222222222225,0,0,1.966976,0,22.77777777777778,20.722222222222225,1,0.6538454805776023,FALSE,0,0,0,0,0,0,0,0,0
